,codigo_iccs,subtipo_objeto_robado,nombre_objeto,cantidad,calibre,clase_arma,calidad_de,fabricacion,fecha_evento,hora_evento,tipo_lugar,lugar,codigo_zona,codigo_distrito,codigo_circuito,codigo_subcircuito,nombre_zona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,nombre_canton,nombre_parroquia,tipo_delito
618,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,ENCONTRADA,IMPORTADA,19/1/2024,11:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,11D01,11D01C14,11D01C14S01,ZONA 7,LOJA,EL VALLE,EL VALLE 1,11,1101,110150,LOJA,LOJA,LOJA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
619,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,IMPORTADA,19/1/2024,19:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,07D01,07D01C04,07D01C04S01,ZONA 7,PASAJE,BAJO ALTO,BAJO ALTO 1,7,706,70650,EL ORO,EL GUABO,EL GUABO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
620,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,19/1/2024,22:15,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 7,11D01,11D01C12,11D01C12S02,ZONA 7,LOJA,CHONTACRUZ,CHONTACRUZ 2,11,1101,110150,LOJA,LOJA,LOJA,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
621,05.02.008,ARMA DE FUEGO,FUSILES,1,223(5.56 mm),AUTOMÁTICO,APREHENDIDO,IMPORTADA,19/1/2024,15:20,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,23D01,23D01C05,23D01C05S02,ZONA 4,SANTO DOMINGO ESTE,3 DE JULIO,3 DE JULIO 2,23,2301,230150,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
622,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.32,TIRO A TIRO,APREHENDIDO,IMPORTADA,19/1/2024,21:00,VIVIENDA/ALOJAMIENTO,CASA/VILLA,ZONA 8,09D02,09D02C04,09D02C04S02,ZONA 8,ESTEROS,TRINITARIA NORTE,TRINITARIA NORTE 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
623,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,SE DESCONOCE,APREHENDIDO,ARTESANAL,20/1/2024,2:45,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 2,22D02,22D02C08,22D02C08S03,ZONA 2,ORELLANA LORETO,DAYUMA,DAYUMA 3,22,2201,220151,ORELLANA,ORELLANA,DAYUMA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
624,05.02.013,ARMA DE FUEGO,PISTOLAS,1,OTRO,TIRO A TIRO,APREHENDIDO,IMPORTADA,20/1/2024,0:20,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,02D04,02D04C02,02D04C02S01,ZONA 5,SUBTROPICO,CALUMA,CALUMA 1,2,206,20650,BOLIVAR,CALUMA,CALUMA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
625,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.22,SEMI AUTOMÁTICO,RETENIDO,IMPORTADA,20/1/2024,3:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D03,17D03C18,17D03C18S01,ZONA 9,LA DELICIA,LA BOTA,LA BOTA 1,17,1701,170150,PICHINCHA,QUITO,QUITO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
626,05.02.006,ARMA DE FUEGO,CARTUCHERAS,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,20/1/2024,0:30,VIVIENDA/ALOJAMIENTO,CASA/VILLA,ZONA 2,17D10,17D10C07,17D10C07S02,ZONA 2,CAYAMBE,TABACUNDO,TABACUNDO 2,17,1704,170454,PICHINCHA,PEDRO MONCAYO,TUPIGACHI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
627,05.02.011,ARMA DE FUEGO,OTROS ARMAS CORTAS,1,9 mm,SE DESCONOCE,ENTREGADO,IMPORTADA,19/1/2024,19:25,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D01,09D01C01,09D01C01S04,ZONA 8,SUR,GUASMO,GUASMO 4,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
628,05.02.017,ARMA DE FUEGO,SUBAMETRALLADORA,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,ARTESANAL,20/1/2024,1:15,VIVIENDA/ALOJAMIENTO,CASA/VILLA,ZONA 2,17D10,17D10C03,17D10C03S01,ZONA 2,CAYAMBE,CAYAMBE SUR,CAYAMBE SUR 1,17,1702,170250,PICHINCHA,CAYAMBE,CAYAMBE,DELITOS CONTRA LA SEGURIDAD PÚBLICA
629,05.02.013,ARMA DE FUEGO,PISTOLAS,1,OTRO,AUTOMÁTICO,ABANDONADO,IMPORTADA,18/1/2024,8:00,VIVIENDA/ALOJAMIENTO,CASA/VILLA,ZONA 4,13D10,13D10C03,13D10C03S01,ZONA 4,PEDERNALES,PEDERNALES NORTE,PEDERNALES NORTE 1,13,1317,131750,MANABI,PEDERNALES,PEDERNALES,DELITOS CONTRA LA SEGURIDAD PÚBLICA
630,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,ABANDONADO,IMPORTADA,19/1/2024,23:30,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 8,09D24,09D24C02,09D24C02S01,ZONA 8,DURAN,CENTRO,CENTRO 1,9,907,90750,GUAYAS,DURAN,ELOY ALFARO (DURAN),DELITOS CONTRA LA SEGURIDAD PÚBLICA
631,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,19/1/2024,23:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,23D03,23D03C02,23D03C02S01,ZONA 4,LA CONCORDIA,MONTE REY,MONTERREY 1,23,808,80851,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,MONTERREY,DELITOS CONTRA LA SEGURIDAD PÚBLICA
