,codigo_iccs,subtipo_objeto_robado,nombre_objeto,cantidad,calibre,clase_arma,calidad_de,fabricacion,fecha_evento,hora_evento,tipo_lugar,lugar,codigo_zona,codigo_distrito,codigo_circuito,codigo_subcircuito,nombre_zona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,nombre_canton,nombre_parroquia,tipo_delito
0,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,AUTOMÁTICO,APREHENDIDO,ARTESANAL,1/1/2024,4:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D03,09D03C05,09D03C05S01,ZONA 8,9 DE OCTUBRE,VENEZUELA,VENEZUELA 1,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
1,05.02.013,ARMA DE FUEGO,PISTOLAS,1,OTRO,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,2:50,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D06,09D06C04,09D06C04S05,ZONA 8,FLORIDA,JUAN MONTALVO,JUAN MONTALVO 5,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
2,05.02.013,ARMA DE FUEGO,PISTOLAS,1,.38,AUTOMÁTICO,DECOMISO,IMPORTADA,1/1/2024,2:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,07D01,07D01C09,07D01C09S01,ZONA 7,PASAJE,LAS PRADERAS,LAS PRADERAS 1,7,709,70950,EL ORO,PASAJE,PASAJE,DELITOS CONTRA LA SEGURIDAD PÚBLICA
3,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,3:30,VIVIENDA/ALOJAMIENTO,CASA/VILLA,ZONA 7,07D04,07D04C04,07D04C04S01,ZONA 7,PIÑAS,SAN ROQUE,SAN ROQUE 1,7,710,71050,EL ORO,PIÑAS,PIÑAS,DELITOS CONTRA LA INTEGRIDAD PERSONAL
4,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,8:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,24D02,24D02C06,24D02C06S02,ZONA 5,LIBERTAD SALINAS,SANTA ROSA,SANTA ROSA 2,24,2403,240350,SANTA ELENA,SALINAS,SALINAS,DELITOS CONTRA LA SEGURIDAD PÚBLICA
5,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,AUTOMÁTICO,RETENIDO,IMPORTADA,1/1/2024,8:45,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,23D02,23D02C03,23D02C03S02,ZONA 4,SANTO DOMINGO OESTE,BOMBOLI,BOMBOLI 2,23,2301,230150,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA
6,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,ABANDONADO,IMPORTADA,1/1/2024,10:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D07,09D07C05,09D07C05S02,ZONA 8,PASCUALES,ORQUIDEAS,ORQUIDEAS 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
7,05.15.002,ARMAS DE FOGUEO,REVOLVER,1,9 mm,AUTOMÁTICO,ABANDONADO,IMPORTADA,1/1/2024,11:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D01,17D01C03,17D01C03S01,ZONA 9,NANEGAL,NANEGAL,NANEGAL 1,17,1701,170168,PICHINCHA,QUITO,NANEGAL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
8,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,11:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,07D02,07D02C12,07D02C12S01,ZONA 7,MACHALA,EL CAMBIO,EL CAMBIO 1,7,701,70150,EL ORO,MACHALA,MACHALA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
9,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,TIRO A TIRO,APREHENDIDO,IMPORTADA,1/1/2024,9:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D04,21D04C01,21D04C01S01,ZONA 1,SHUSHUFINDI,LA PRIMAVERA,LA PRIMAVERA 1,21,2104,210450,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
10,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,TIRO A TIRO,APREHENDIDO,IMPORTADA,1/1/2024,9:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D04,21D04C01,21D04C01S01,ZONA 1,SHUSHUFINDI,LA PRIMAVERA,LA PRIMAVERA 1,21,2104,210450,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
11,05.02.006,ARMA DE FUEGO,CARTUCHERAS,1,OTRO,SE DESCONOCE,APREHENDIDO,ARTESANAL,1/1/2024,10:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D08,17D08C10,17D08C10S01,ZONA 9,LOS CHILLOS,LA MERCED,LA MERCED 1,17,1701,170164,PICHINCHA,QUITO,LA MERCED,DELITOS CONTRA LA SEGURIDAD PÚBLICA
12,05.02.008,ARMA DE FUEGO,FUSILES,1,223(5.56 mm),AUTOMÁTICO,RETENIDO,IMPORTADA,1/1/2024,13:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D24,09D24C05,09D24C05S04,ZONA 8,DURAN,RECREO,RECREO 4,9,907,90750,GUAYAS,DURAN,ELOY ALFARO (DURAN),DELITOS CONTRA LA SEGURIDAD PÚBLICA
13,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,17:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,19D01,19D01C06,19D01C06S01,ZONA 7,ZAMORA,MANBIJA,NAMBIJA 1,19,1901,190151,ZAMORA CHINCHIPE,ZAMORA,CUMBARATZA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
14,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,1/1/2024,20:45,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,13D02,13D02C07,13D02C07S02,ZONA 4,MANTA,CENTRO,CENTRO 2,13,1308,130850,MANABI,MANTA,MANTA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
15,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,RETENIDO,ARTESANAL,2/1/2024,0:05,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 6,14D05,14D05C02,14D05C02S01,ZONA 6,TAISHA,TAISHA CENTRO,TAISHA CENTRO 1,14,1409,140950,MORONA SANTIAGO,TAISHA,TAISHA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
16,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,RETENIDO,ARTESANAL,2/1/2024,0:05,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 6,14D05,14D05C02,14D05C02S01,ZONA 6,TAISHA,TAISHA CENTRO,TAISHA CENTRO 1,14,1409,140950,MORONA SANTIAGO,TAISHA,TAISHA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
17,05.15.001,ARMAS DE FOGUEO,PISTOLA,1,9 mm,TIRO A TIRO,RETENIDO,IMPORTADA,1/1/2024,10:10,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D04,21D04C01,21D04C01S01,ZONA 1,SHUSHUFINDI,LA PRIMAVERA,LA PRIMAVERA 1,21,2104,210450,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
18,05.15.001,ARMAS DE FOGUEO,PISTOLA,1,9 mm,AUTOMÁTICO,ABANDONADO,IMPORTADA,1/1/2024,11:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D01,17D01C03,17D01C03S01,ZONA 9,NANEGAL,NANEGAL,NANEGAL 1,17,1701,170168,PICHINCHA,QUITO,NANEGAL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
19,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,RETENIDO,ARTESANAL,2/1/2024,0:05,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 6,14D05,14D05C02,14D05C02S01,ZONA 6,TAISHA,TAISHA CENTRO,TAISHA CENTRO 1,14,1409,140950,MORONA SANTIAGO,TAISHA,TAISHA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
20,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,RETENIDO,ARTESANAL,2/1/2024,0:05,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 6,14D05,14D05C02,14D05C02S01,ZONA 6,TAISHA,TAISHA CENTRO,TAISHA CENTRO 1,14,1409,140950,MORONA SANTIAGO,TAISHA,TAISHA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
21,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.22,TIRO A TIRO,ABANDONADO,ARTESANAL,1/1/2024,5:00,ÁREAS DE ACCESO PUBLICO,TROCHA,ZONA 1,04D01,04D01C10,04D01C10S01,ZONA 1,TULCAN,JULIO ANDRADE,JULIO ANDRADE 1,4,401,40153,CARCHI,TULCAN,JULIO ANDRADE (OREJUELA),DELITOS CONTRA LA SEGURIDAD PÚBLICA
22,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,2/1/2024,2:15,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,09D17,09D17C04,09D17C04S01,ZONA 5,MILAGRO,MAR NEGRO,MAR NEGRO 1,9,910,91050,GUAYAS,MILAGRO,MILAGRO,DELITOS CONTRA LA LIBERTAD PERSONAL
23,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.22,TIRO A TIRO,ABANDONADO,IMPORTADA,2/1/2024,12:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,11D06,11D06C02,11D06C02S01,ZONA 7,CALVAS,CARIAMANGA ESTE,CARIAMANGA ESTE 1,11,1102,110250,LOJA,CALVAS,CARIAMANGA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
24,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,2/1/2024,16:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,24D02,24D02C04,24D02C04S01,ZONA 5,LIBERTAD SALINAS,ENRIQUEZ GALLO,ENRIQUEZ GALLO 1,24,2402,240250,SANTA ELENA,LA LIBERTAD,LA LIBERTAD,DELITOS CONTRA LA SEGURIDAD PÚBLICA
25,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,IMPORTADA,2/1/2024,16:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,24D02,24D02C04,24D02C04S01,ZONA 5,LIBERTAD SALINAS,ENRIQUEZ GALLO,ENRIQUEZ GALLO 1,24,2402,240250,SANTA ELENA,LA LIBERTAD,LA LIBERTAD,DELITOS CONTRA LA SEGURIDAD PÚBLICA
26,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,TIRO A TIRO,APREHENDIDO,IMPORTADA,2/1/2024,22:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D03,09D03C03,09D03C03S02,ZONA 8,9 DE OCTUBRE,9 DE OCTUBRE,9 DE OCTUBRE 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
27,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,3/1/2024,12:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D01,09D01C02,09D01C02S03,ZONA 8,SUR,UNION DE BANANEROS,UNION DE BANANEROS 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
28,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,3/1/2024,16:50,ÁREAS DE ACCESO PUBLICO,RÍO,ZONA 1,08D01,08D01C04,08D01C04S01,ZONA 1,ESMERALDAS,LA TOLITA,LA TOLITA 1,8,801,80150,ESMERALDAS,ESMERALDAS,ESMERALDAS,DELITOS CONTRA LA SEGURIDAD PÚBLICA
29,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,ENCONTRADA,IMPORTADA,3/1/2024,14:45,ÁREAS DEDICADAS AL COMERCIO,OTRO LOCAL COMERCIAL,ZONA 7,07D02,07D02C01,07D02C01S02,ZONA 7,MACHALA,9 DE MAYO,9 DE MAYO 2,7,701,70150,EL ORO,MACHALA,MACHALA,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
30,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,ABANDONADO,ARTESANAL,3/1/2024,16:40,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 8,09D10,09D10C03,09D10C03S01,ZONA 8,PROGRESO,PROGRESO,PROGRESO 1,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
31,05.02.013,ARMA DE FUEGO,PISTOLAS,1,OTRO,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,3/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 8,09D07,09D07C03,09D07C03S03,ZONA 8,PASCUALES,BASTION POPULAR NORTE,BASTION POPULAR NORTE 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
32,05.02.021,ARMA DE FUEGO,SE DESCONOCE,1,OTRO,SE DESCONOCE,ABANDONADO,ARTESANAL,3/1/2024,19:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,12D01,12D01C02,12D01C02S01,ZONA 5,BABAHOYO,PUERTA NEGRA,PUERTA NEGRA 1,12,1201,120150,LOS RIOS,BABAHOYO,BABAHOYO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
33,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,INCAUTADA,IMPORTADA,3/1/2024,14:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D04,09D04C03,09D04C03S04,ZONA 8,PORTETE,SALINAS,SALINAS 4,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
34,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,3/1/2024,19:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,09D12,09D12C02,09D12C02S01,ZONA 5,NARANJAL BALAO,BALAO,BALAO 1,9,903,90350,GUAYAS,BALAO,BALAO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
35,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,3/1/2024,19:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,09D12,09D12C02,09D12C02S01,ZONA 5,NARANJAL BALAO,BALAO,BALAO 1,9,903,90350,GUAYAS,BALAO,BALAO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
36,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,4/1/2024,3:30,LUGARES QUE PRESTAN SERVICIOS,GASOLINERA,ZONA 5,24D02,24D02C06,24D02C06S03,ZONA 5,LIBERTAD SALINAS,SANTA ROSA,SANTA ROSA 3,24,2403,240350,SANTA ELENA,SALINAS,SALINAS,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
37,05.15.001,ARMAS DE FOGUEO,PISTOLA,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,4/1/2024,5:15,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D01,13D01C09,13D01C09S01,ZONA 4,PORTOVIEJO,EL GUABITO,EL GUABITO 1,13,1301,130150,MANABI,PORTOVIEJO,PORTOVIEJO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
38,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,ENCONTRADA,IMPORTADA,4/1/2024,0:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 7,07D02,07D02C15,07D02C15S01,ZONA 7,MACHALA,LA FERROVIARIA,LA FERROVIARIA 1,7,701,70150,EL ORO,MACHALA,MACHALA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
39,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,RETENIDO,ARTESANAL,2/1/2024,17:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,13D11,13D11C01,13D11C01S01,ZONA 4,SUCRE,BAHIA,BAHIA 1,13,1314,131450,MANABI,SUCRE,BAHIA DE CARAQUEZ,DELITOS CONTRA LA SEGURIDAD PÚBLICA
40,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,3/1/2024,10:35,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D03,21D03C01,21D03C01S01,ZONA 1,PUTUMAYO,TARAPOA,TARAPOA 1,21,2107,210750,SUCUMBIOS,CUYABENO,TARAPOA,DELITOS CONTRA PERSONAS Y BIENES PROTEGIDOS POR EL DERECHO INTERNACIONAL HUMANITARIO
41,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,2/1/2024,19:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 2,22D02,22D02C07,22D02C07S01,ZONA 2,ORELLANA LORETO,LA BELLEZA,LA BELLEZA 1,22,2201,220156,ORELLANA,ORELLANA,GARCIA MORENO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
42,05.02.006,ARMA DE FUEGO,CARTUCHERAS,1,.22,TIRO A TIRO,ABANDONADO,ARTESANAL,3/1/2024,20:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,13D02,13D02C19,13D02C19S01,ZONA 4,MANTA,MONTECRISTI,MONTECRISTI 1,13,1309,130950,MANABI,MONTECRISTI,MONTECRISTI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
43,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,INCAUTADA,ARTESANAL,2/1/2024,5:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,12D03,12D03C11,12D03C11S02,ZONA 5,QUEVEDO,MOCACHE,MOCACHE 2,12,1212,121250,LOS RIOS,MOCACHE,MOCACHE,DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
44,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,INCAUTADA,IMPORTADA,2/1/2024,5:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,12D03,12D03C11,12D03C11S02,ZONA 5,QUEVEDO,MOCACHE,MOCACHE 2,12,1212,121250,LOS RIOS,MOCACHE,MOCACHE,DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
45,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,3/1/2024,13:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,08D04,08D04C02,08D04C02S02,ZONA 1,QUININDE,ROSA ZARATE,ROSA ZARATE 2,8,804,80450,ESMERALDAS,QUININDE,ROSA ZARATE (QUININDE),DELITOS CONTRA LA SEGURIDAD PÚBLICA
46,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,INCAUTADA,ARTESANAL,4/1/2024,9:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 7,11D01,11D01C10,11D01C10S01,ZONA 7,LOJA,TEBAIDA,TEBAIDA 1,11,1101,110150,LOJA,LOJA,LOJA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
47,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,4/1/2024,13:00,ÁREAS DEDICADAS AL COMERCIO,CENTRO COMERCIAL,ZONA 7,07D02,07D02C15,07D02C15S01,ZONA 7,MACHALA,LA FERROVIARIA,LA FERROVIARIA 1,7,701,70150,EL ORO,MACHALA,MACHALA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
48,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,4/1/2024,13:00,ÁREAS DEDICADAS AL COMERCIO,CENTRO COMERCIAL,ZONA 7,07D02,07D02C15,07D02C15S01,ZONA 7,MACHALA,LA FERROVIARIA,LA FERROVIARIA 1,7,701,70150,EL ORO,MACHALA,MACHALA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
49,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,3/1/2024,17:10,ÁREAS DE ACCESO PUBLICO,TERRENO BALDÍO,ZONA 1,08D04,08D04C09,08D04C09S01,ZONA 1,QUININDE,VICHE,VICHE 1,8,804,80454,ESMERALDAS,QUININDE,VICHE,DELITOS CONTRA LA SEGURIDAD PÚBLICA
50,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,4/1/2024,15:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D08,09D08C04,09D08C04S08,ZONA 8,NUEVA PROSPERINA,FLOR DE BASTION,FLOR DE BASTION 8,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
51,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,4/1/2024,17:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,04D02,04D02C06,04D02C06S01,ZONA 1,MONTUFAR,CRISTOBAL COLON,CRISTOBAL COLON 1,4,405,40551,CARCHI,MONTUFAR,CRISTOBAL COLON,DELITOS CONTRA LA SEGURIDAD PÚBLICA
52,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,INCAUTADA,IMPORTADA,4/1/2024,14:55,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 4,13D01,13D01C09,13D01C09S01,ZONA 4,PORTOVIEJO,EL GUABITO,EL GUABITO 1,13,1301,130150,MANABI,PORTOVIEJO,PORTOVIEJO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
53,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,4/1/2024,17:40,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,04D03,04D03C01,04D03C01S01,ZONA 1,ESPEJO,EL ANGEL,EL ANGEL 1,4,403,40350,CARCHI,ESPEJO,EL ANGEL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
54,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,4/1/2024,19:30,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D03,21D03C03,21D03C03S01,ZONA 1,PUTUMAYO,PALMA ROJA,PALMA ROJA 1,21,2103,210351,SUCUMBIOS,PUTUMAYO,PALMA ROJA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
55,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,9 mm,SE DESCONOCE,INCAUTADA,IMPORTADA,4/1/2024,18:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D04,17D04C04,17D04C04S01,ZONA 9,MANUELA SAENZ,PANECILLO,PANECILLO 1,17,1701,170150,PICHINCHA,QUITO,QUITO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
56,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,9 mm,SE DESCONOCE,INCAUTADA,IMPORTADA,4/1/2024,18:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 9,17D04,17D04C04,17D04C04S01,ZONA 9,MANUELA SAENZ,PANECILLO,PANECILLO 1,17,1701,170150,PICHINCHA,QUITO,QUITO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
57,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,ARTESANAL,4/1/2024,11:20,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D07,09D07C07,09D07C07S05,ZONA 8,PASCUALES,SAN FRANCISCO,SAN FRANCISCO 5,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
58,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SE DESCONOCE,APREHENDIDO,IMPORTADA,4/1/2024,16:45,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 8,09D10,09D10C03,09D10C03S01,ZONA 8,PROGRESO,PROGRESO,PROGRESO 1,9,901,90152,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),DELITOS CONTRA EL DERECHO A LA PROPIEDAD
59,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,4/1/2024,22:30,ÁREAS DE ACCESO PUBLICO,TERRENO BALDÍO,ZONA 4,13D02,13D02C15,13D02C15S01,ZONA 4,MANTA,LOS BAJOS,LOS BAJOS 1,13,1309,130950,MANABI,MONTECRISTI,MONTECRISTI,DELITOS CONTRA LA SEGURIDAD PÚBLICA
