,Column1,Nombre Común,Nombre Inglés,Nombre Portugués,Nombre Científico,Registros
142,143,Zafiro Coroniazul,Crowned Woodnymph,No Existe Registro,Thalurania colombica,12
143,144,Picaflor Zafiro,Fork-tailed Woodnymph,Beija-flor-tesoura-verde,Thalurania furcata,6
144,145,Colibrí Moteado,Many-spotted Hummingbird,No Existe Registro,Taphrospilus hypostictus,6
145,146,Amazilia Rabirrufa,Rufous-tailed Hummingbird,No Existe Registro,Amazilia tzacatl,29
146,147,Amazilia Andina,Andean Emerald,No Existe Registro,Amazilia franciae,20
147,148,Amazilia Costeña,Amazilia Hummingbird,No Existe Registro,Amazilis amazilia,21
148,149,Zafiro De Cola Dorada,Golden-tailed Sapphire,Beija-flor-de-cauda-dourada,Chrysuronia oenone,6
149,150,Zafiro Cabeciazul,Gray´s Hummingbird,No Existe Registro,Chrysuronia grayi,1
150,151,Diamante Gargantiverde,Glittering-throated Emerald,Beija-flor-de-garganta-verde,Chionomesa fimbriata,3
151,152,No Existe Registro,Spot-vented Emerald,No Existe Registro,Chionomesa bartletti,1
152,153,Picaflor Cola Castaña,Rufous-throated Hummingbird,Beija-flor-safira,Hylocharis sapphirina,1
153,154,Amazilia de Rosenberg,Purple-chested Hummingbird,No Existe Registro,Polyerata rosenbergi,1
154,155,Colibrí de Julia,Violet-bellied Hummingbird,No Existe Registro,Chlorestes julie,3
155,156,Hoazín,Hoatzin,Cigana,Opisthocomus hoazin,9
156,157,Anó Grande,Greater Ani,Anu-coroca,Crotophaga major,11
157,158,Anó Chico,Smooth-billed Ani,Anu-preto,Crotophaga ani,86
158,159,Anó Pico Surcado,Groove-billed Ani,No Existe Registro,Crotophaga sulcirostris,23
159,160,Crespín,Striped Cuckoo,Saci,Tapera naevia,6
160,161,Cuco-ardilla Chico,Little Cuckoo,Chincoã-pequeno,Coccycua minuta,5
161,162,Tingazú,Common Squirrel-cuckoo,Alma-de-gato,Piaya cayana,18
162,163,Cuclillo Canela,Dark-billed Cuckoo,Papa-lagarta-acanelado,Coccyzus melacoryphus,2
163,164,Cuclillo Ojo Colorado,Black-billed Cuckoo,Papa-lagarta-de-bico-preto,Coccyzus erythropthalmus,2
164,165,Cuclillo Cabecigrís,Grey-capped Cuckoo,No Existe Registro,Coccyzus lansbergi,1
165,166,Ipequí,Sungrebe,Picaparra,Heliornis fulica,5
166,167,Burrito Común,Rufous-sided Crake,Sanã-parda,Laterallus melanophaius,1
167,168,Chiricote,Grey-cowled Wood-rail,Saracura-três-potes,Aramides cajaneus,1
168,169,Cotara Cuellirrufa,Rufous-necked Wood-rail,No Existe Registro,Aramides axillaris,2
169,170,Gallineta Negruzca,Blackish Rail,Saracura-sanã,Pardirallus nigricans,1
170,171,Gallineta Común,Plumbeous Rail,Saracura-do-banhado,Pardirallus sanguinolentus,1
171,172,Polluela Sora,Sora,Sora,Porzana carolina,1
172,173,Pollona Azul,Purple Gallinule,Frango-d´água-azul,Porphyrio martinicus,8
173,174,Pollona Celeste,Azure Gallinule,Frango-d´água-pequeno,Porphyrio flavirostris,1
174,175,Pollona Negra,Common Gallinule,Galinha-dágua,Gallinula galeata,20
175,176,Gallareta Andina,Andean Coot,No Existe Registro,Fulica ardesiaca,4
176,177,Trompetero Aligrís,Grey-winged Trumpeter,Jacamim-de-costas-cinzentas,Psophia crepitans,3
177,178,Carau,Limpkin,Carão,Aramus guarauna,5
178,179,Pingüino de las Galápagos,Galapagos Penguin,No Existe Registro,Spheniscus mendiculus,15
179,180,Golondrina de Mar Chica,White-vented Storm-petrel,No Existe Registro,Oceanites gracilis,18
180,181,No Existe Registro,No Existe Registro,No Existe Registro,Hydrobatidae sp.,6
181,182,Golondrina De Mar De Madeira,Band-rumped Storm-petrel,No Existe Registro,Hydrobates castro,5
182,183,Golondrina de Mar Peruana,Wedge-rumped Storm-petrel,No Existe Registro,Hydrobates tethys,10
183,184,Golondrina de Mar Negra,Markham´s Storm-petrel,No Existe Registro,Hydrobates markhami,2
184,185,Albatros de Galápagos,Waved Albatross,No Existe Registro,Phoebastria irrorata,26
185,186,Petrel de Galapagos,Galapagos Petrel,No Existe Registro,Pterodroma phaeopygia,47
186,187,Fardela de Dorso gris,Buller´s Shearwater,No Existe Registro,Ardenna bulleri,1
187,188,Pardela Oscura,Sooty Shearwater,Bobo-escuro,Ardenna grisea,4
188,189,Pardela Pico Rosado,Pink-footed Shearwater,No Existe Registro,Ardenna creatopus,2
189,190,Pardela de Galápagos,Galapagos Shearwater,No Existe Registro,Puffinus subalaris,61
190,191,Espátula Rosada,Roseate Spoonbill,Colhereiro,Platalea ajaja,13
191,192,Bandurria Andina,Andean Ibis,No Existe Registro,Theristicus branickii,1
192,193,Tapicurú,Green Ibis,Coró-coró,Mesembrinibis cayennensis,2
193,194,Ibis Blanco,White Ibis,Íbis-branco,Eudocimus albus,16
194,195,Ibis Castaña,Glossy Ibis,No Existe Registro,Plegadis falcinellus,1
195,196,Hocó Colorado,Rufescent Tiger-heron,Socó-boi,Tigrisoma lineatum,8
196,197,Hocó Oscuro,Fasciated Tiger-heron,Socó-boi-escuro,Tigrisoma fasciatum,1
197,198,Garza Agamí,Agami Heron,Garça-da-mata,Agamia agami,1
198,199,Garza Cucharona,Boat-billed Heron,Arapapá,Cochlearius cochlearius,3
199,200,Mirasol Chico,Least Bittern,Socoí-vermelho,Ixobrychus exilis,2
200,201,Garza Bruja,Black-crowned Night-heron,Socó-dorminhoco,Nycticorax nycticorax,13
201,202,Garza Nocturna,Yellow-crowned Night-heron,Savacu-de-coroa,Nyctanassa violacea,31
202,203,Garcita Azulada,Green-backed Heron,Socozinho,Butorides striata,56
203,204,Garcita Bueyera,Cattle Egret,Garça-vaqueira,Bubulcus ibis,52
204,205,Garza Ceniza,Great Blue Heron,Garça-azul-grande,Ardea herodias,21
205,206,Garza Mora,Cocoi Heron,Garça-moura,Ardea cocoi,20
206,207,Garza Blanca,Great White Egret,Garça-branca-grande,Ardea alba,33
207,208,Garcita Real,Capped Heron,Garça-real,Pilherodius pileatus,4
208,209,Garceta Tricolor,Tricolored Heron,Garça-tricolor,Egretta tricolor,8
209,210,Garza Azul,Little Blue Heron,Garça-azul,Egretta caerulea,9
210,211,Garcita Blanca,Snowy Egret,Garça-branca-pequena,Egretta thula,29
211,212,Pelícano Pardo,Brown Pelican,Pelicano-pardo,Pelecanus occidentalis,86
212,213,Pelícano Peruano,Peruvian Pelican,No Existe Registro,Pelecanus thagus,11
213,214,No Existe Registro,No Existe Registro,No Existe Registro,Fregata sp.,10
214,215,Ave Fragata Pelágica,Great Frigatebird,Tesourão-grande,Fregata minor,12
215,216,Ave Fragata,Magnificent Frigatebird,Fragata,Fregata magnificens,87
216,217,No Existe Registro,No Existe Registro,No Existe Registro,Sula sp.,2
217,218,Piquero Patas Rojas,Red-footed Booby,Atobá-de-pé-vermelho,Sula sula,10
218,219,Piquero Pardo,Brown Booby,Atobá-pardo,Sula leucogaster,3
219,220,Piquero Patas Azules,Blue-footed Booby,No Existe Registro,Sula nebouxii,82
220,221,Piquero Peruano,Peruvian Booby,No Existe Registro,Sula variegata,4
221,222,Piquero de Nazca,Nazca Booby,No Existe Registro,Sula granti,35
222,223,Guanay,Guanay Cormorant,No Existe Registro,Leucocarbo bougainvilliorum,1
223,224,Biguá,Neotropical Cormorant,Biguá,Nannopterum brasilianum,21
224,225,Cormorán Mancón,Flightless Cormorant,No Existe Registro,Nannopterum harrisi,1
225,226,Aninga,Anhinga,Biguatinga,Anhinga anhinga,13
226,227,Ostrero Común,American Oystercatcher,Piru-piru,Haematopus palliatus,11
227,228,Tero Real,Black-winged Stilt,Pernilongo-de-costas-brancas,Himantopus himantopus,25
228,229,Chorlo Ártico,Grey Plover,Batuiruçu-de-axila-preta,Pluvialis squatarola,9
229,230,Chorlo Cabezón,Tawny-throated Dotterel,Batuíra-de-papo-ferrugíneo,Oreopholus ruficollis,1
230,231,Chorlito Palmado,Semipalmated Plover,Batuíra-de-bando,Charadrius semipalmatus,13
231,232,Frailecillo de Wilson,Wilson´s Plover,Batuíra-bicuda,Charadrius wilsonia,2
232,233,Fraile,Killdeer,No Existe Registro,Charadrius vociferus,6
233,234,Chorlo Nevado,Snowy Plover,No Existe Registro,Charadrius nivosus,4
234,235,Chorlito de Collar,Collared Plover,Batuíra-de-coleira,Charadrius collaris,3
235,236,Tero Común,Southern Lapwing,Quero-quero,Vanellus chilensis,7
236,237,Tero Serrano,Andean Lapwing,No Existe Registro,Vanellus resplendens,5
237,238,Agachona Grande,Rufous-bellied Seedsnipe,No Existe Registro,Attagis gayi,1
238,239,Jacana,Wattled Jacana,Jaçanã,Jacana jacana,11
239,240,Playero Trinador,Whimbrel,Maçarico-galego,Numenius phaeopus,24
