,Column1,Nombre Común,Nombre Inglés,Nombre Portugués,Nombre Científico,Registros
372,373,Tiluchi Alirufo Norteño,Northern Rufous-winged Antwren,No Existe Registro,Herpsilochmus scapularis,2
373,374,Chororó,Great Antshrike,Choró-boi,Taraba major,6
374,375,Batará de Chapman,Chapman´s Antshrike,No Existe Registro,Thamnophilus zarumae,1
375,376,Batará Vermiculado,Lined Antshrike,No Existe Registro,Thamnophilus tenuepunctatus,5
376,377,No Existe Registro,Collared Antshrike,No Existe Registro,Thamnophilus bernardi,10
377,378,Pizarroso Occidental,Black-crowned Antshrike,No Existe Registro,Thamnophilus atrinucha,2
378,379,Batará Alillano,Plain-winged Antshrike,Choca-de-olho-vermelho,Thamnophilus schistaceus,1
379,380,Batará murino,Mouse-colored Antshrike,Choca-murina,Thamnophilus murinus,1
380,381,Batará Unicolor,Uniform Antshrike,No Existe Registro,Thamnophilus unicolor,2
381,382,No Existe Registro,Blackish Antbird,No Existe Registro,Cercomacroides nigrescens,1
382,383,Hormiguero Negro,Black Antbird,Chororó-preto,Cercomacroides serva,1
383,384,Hormiguero Cejiamarillo,Yellow-browed Antwarbler,Cantador-amarelo,Hypocnemis hypoxantha,1
384,385,Hormiguero Dorsiescamado,Common Scale-backed Antbird,Rendadinho,Willisornis poecilinotus,2
385,386,Hormiguero Caripelado,Black-spotted Bare-eye,Mãe-de-taoca,Phlegopsis nigromaculata,1
386,387,Hormiguero Cresticanoso,Hairy-crested Antbird,Mãe-de-taoca-cabeçuda,Rhegmatorhina melanosticta,2
387,388,No Existe Registro,Spot-backed Antbird,Guarda-floresta,Hylophylax naevius,1
388,389,No Existe Registro,Dot-backed Antbird,Guarda-várzea,Hylophylax punctulatus,2
389,390,Hormiguero Plateado,Silvered Antbird,Papa-formiga-do-igarapé,Sclateria naevia,2
390,391,Hormiguero Plomizo,Plumbeous Antbird,Formigueiro-chumbo,Myrmelastes hyperythrus,1
391,392,No Existe Registro,Spot-winged Antbird,Formigueiro-de-asa-pintada,Myrmelastes leucostigma,1
392,393,Hormiguero Carinegro,Black-faced Antbird,Formigueiro-de-cara-preta,Myrmoborus myotherinus,5
393,394,Ojo-de-Fuego Dorsiblanco,White-backed Fire-eye,Papa-taoca,Pyriglena leuconota,3
394,395,Hormiguero Caponiblanco,White-shouldered Antbird,Formigueiro-grande,Akletos melanoceps,1
395,396,No Existe Registro,Zeledon´s Antbird,No Existe Registro,Hafferia zeledoni,2
396,397,Pecholuna Elegante,Elegant Crescentchest,No Existe Registro,Melanopareia elegans,8
397,398,Gralaria Ondulada,Undulated Antpitta,No Existe Registro,Grallaria squamigera,1
398,399,Gralaria Gigante,Giant Antpitta,No Existe Registro,Grallaria gigantea,2
399,400,Tororoí Bigotudo,Moustached Antpitta,No Existe Registro,Grallaria alleni,3
400,401,Tororoi Dorsiescamado,Scaled Antpitta,Tovacuçu-corujinha,Grallaria guatimalensis,2
401,402,Gralaria Dorsillana,Plain-backed Antpitta,No Existe Registro,Grallaria haplonota,6
402,403,Tororoí Comprapán,Chestnut-crowned Antpitta,No Existe Registro,Grallaria ruficapilla,10
403,404,Gralaria Matorralera,Watkins´s Antpitta,No Existe Registro,Grallaria watkinsi,1
404,405,Tororoí Jocotoco,Jocotoco Antpitta,No Existe Registro,Grallaria ridgelyi,1
405,406,Gralaria Nuquicastaña,Chestnut-naped Antpitta,No Existe Registro,Grallaria nuchalis,1
406,407,Tororoí Pechiamarillo,Yellow-breasted Antpitta,No Existe Registro,Grallaria flavotincta,5
407,408,Gralaria Ventriblanca,White-bellied Antpitta,No Existe Registro,Grallaria hypoleuca,1
408,409,Tororoí Flautista,Rufous Antpitta,No Existe Registro,Grallaria rufula,2
409,410,Gralaria Leonada,Tawny Antpitta,No Existe Registro,Grallaria quitensis,5
410,411,Tororoi Piquigualdo,Ochre-breasted Antpitta,No Existe Registro,Grallaricula flavirostris,8
411,412,Tapaculo Celado,Ocellated Tapaculo,No Existe Registro,Acropternis orthonyx,3
412,413,Tapacola Cenizo,Ash-colored Tapaculo,No Existe Registro,Myornis senilis,1
413,414,Tapaculo Negruzco,Blackish Tapaculo,No Existe Registro,Scytalopus latrans,1
414,415,Churrín Coroniblanco Nórdico,White-crowned Tapaculo,No Existe Registro,Scytalopus atratus,2
415,416,Churrín de Spillmann,Spillmann´s Tapaculo,No Existe Registro,Scytalopus spillmanni,1
416,417,Gallito Hormiguero Pechicastaño,Rufous-breasted Antthrush,No Existe Registro,Formicarius rufipectus,3
417,418,Tovaca Común,Short-tailed Antthrush,Tovaca-campainha,Chamaeza campanisona,1
418,419,No Existe Registro,No Existe Registro,No Existe Registro,Philydor sp.,2
419,420,No Existe Registro,Western Olivaceous Woodcreeper,No Existe Registro,Sittasomus griseus,2
420,421,Tarefero,Eastern Olivaceous Woodcreeper,Arapaçu-verde,Sittasomus griseicapillus,3
421,422,Trepatroncos Tiranino,Tyrannine Woodcreeper,No Existe Registro,Dendrocincla tyrannina,1
422,423,Trepatroncos Pardo,Plain-brown Woodcreeper,Arapaçu-pardo,Dendrocincla fuliginosa,8
423,424,Trepatroncos Picouña,Wedge-billed Woodcreeper,Arapaçu-bico-de-cunha,Glyphorynchus spirurus,4
424,425,Trepatroncos Gorgicanelo,Cinnamon-throated Woodcreeper,Arapaçu-galinha,Dendrexetastes rufigula,1
425,426,Trepatroncos Piquilargo,Long-billed Woodcreeper,Arapaçu-de-bico-comprido,Nasica longirostris,1
426,427,Trepatroncos Picofuerte,Strong-billed Woodcreeper,Arapaçu-vermelho,Xiphocolaptes promeropirhynchus,9
427,428,Trepatroncos Listado,Striped Woodcreeper,Arapaçu-riscado,Xiphorhynchus obsoletus,2
428,429,No Existe Registro,Tschudi´s Woodcreeper,No Existe Registro,Xiphorhynchus chunchotambo,1
429,430,Trepador Garganta Amarilla,Lafresnaye´s Woodcreeper,No Existe Registro,Xiphorhynchus guttatoides,3
430,431,Trepador Pinto,Black-striped Woodcreeper,No Existe Registro,Xiphorhynchus lachrymosus,1
431,432,Trepador Manchado,Northern Spotted Woodcreeper,No Existe Registro,Xiphorhynchus erythropygius,2
432,433,No Existe Registro,Southern Spotted Woodcreeper,No Existe Registro,Xiphorhynchus aequatorialis,6
433,434,Trepatroncos Dorsioliva,Olive-backed Woodcreeper,No Existe Registro,Xiphorhynchus triangularis,4
434,435,Trepador Subesube,Straight-billed Woodcreeper,Arapaçu-de-bico-branco,Dendroplex picus,2
435,436,Trepador Pico de Hoz,Brown-billed Scythebill,No Existe Registro,Campylorhamphus pusillus,1
436,437,Picapalo Colorado,Red-billed Scythebill,Arapaçu-beija-flor,Campylorhamphus trochilirostris,3
437,438,Trepador Cabecirrayado,Streak-headed Woodcreeper,Arapaçu-listrado,Lepidocolaptes souleyetii,14
438,439,Trepatroncos Montañés,Montane Woodcreeper,No Existe Registro,Lepidocolaptes lacrymiger,13
439,440,Picolezna Rojizo,Streaked Xenops,Bico-virado-carijó,Xenops rutilus,5
440,441,Trepamusgos Barbablanca Panameño,Buffy Tuftedcheek,No Existe Registro,Pseudocolaptes lawrencii,1
441,442,Barbablanca Rayada,Streaked Tuftedcheek,No Existe Registro,Pseudocolaptes boissonneauii,2
442,443,Hornero Paticlaro,Pale-legged Hornero,Casaca-de-couro-amarelo,Furnarius leucopus,1
443,444,No Existe Registro,Pacific Hornero,No Existe Registro,Furnarius cinnamomeus,36
444,445,Hornero Menor,Lesser Hornero,Joãozinho,Furnarius minor,1
445,446,No Existe Registro,Chestnut-winged Cinclodes,No Existe Registro,Cinclodes albidiventris,6
446,447,Remolinera Ecuatoriana,Stout-billed Cinclodes,No Existe Registro,Cinclodes excelsior,7
447,448,Trepamusgo de Anteojos,Scaly-throated Foliage-gleaner,No Existe Registro,Anabacerthia variegaticeps,4
448,449,Hojarasquero Montañero,Montane Foliage-gleaner,No Existe Registro,Anabacerthia striaticollis,3
449,450,Ticotico Rayado,Lineated Foliage-gleaner,No Existe Registro,Syndactyla subalaris,3
450,451,Ticotico Grande,Buff-fronted Foliage-gleaner,Limpa-folha-de-testa-baia,Dendroma rufa,3
451,452,No Existe Registro,Ruddy Foliage-gleaner,No Existe Registro,Clibanornis rubiginosus,2
452,453,Hojarasquero Mediano,Striped Treehunter,No Existe Registro,Thripadectes holostictus,1
453,454,Trepamusgos Gorrirrayado,Streak-capped Treehunter,No Existe Registro,Thripadectes virgaticeps,1
454,455,Trepamusgos Piconegro,Black-billed Treehunter,No Existe Registro,Thripadectes melanorhynchus,1
455,456,Ticotico Gorgiclaro,Ochre-throated Foliage-gleaner,Barranqueiro-camurça,Automolus ochrolaemus,1
456,457,Subepalo Moteado,Spotted Barbtail,No Existe Registro,Premnoplex brunnescens,1
457,458,Ticotico Goteado,Pearled Treerunner,No Existe Registro,Margarornis squamiger,5
458,459,Tijeral Andino,Andean Tit-spinetail,No Existe Registro,Leptasthenura andicola,2
459,460,Colaespina Cejiblanca,White-browed Spinetail,No Existe Registro,Hellmayrea gularis,1
460,461,Canastero Multilistado,Many-striped Canastero,No Existe Registro,Asthenes flammulata,4
461,462,Espartillero Serrano,Streak-backed Canastero,No Existe Registro,Asthenes wyatti,1
462,463,No Existe Registro,Orange-fronted Plushcrown,João-folheiro,Metopothrix aurantiaca,1
463,464,Colagrís Norteño,Double-banded Greytail,No Existe Registro,Xenerpestes minlosi,1
464,465,Curutié Carirrojo,Red-faced Spinetail,No Existe Registro,Cranioleuca erythrops,10
465,466,Colaespina Ventriblanca,White-bellied Spinetail,João-de-barriga-branca,Mazaria propinqua,1
466,467,Colaespina Cabecinegruzca,Blackish-headed Spinetail,No Existe Registro,Synallaxis tithys,2
467,468,Chamicero de Antifaz,Rufous Spinetail,No Existe Registro,Synallaxis unirufa,2
468,469,Colaespina Rojiza,Ruddy Spinetail,João-teneném-castanho,Synallaxis rutilans,1
469,470,Colaespina Collareja,Necklaced Spinetail,No Existe Registro,Synallaxis stictothorax,3
470,471,Arquitecto Plomizo,Slaty Spinetail,No Existe Registro,Synallaxis brachyura,4
471,472,Colaespina Oscura,Dusky Spinetail,No Existe Registro,Synallaxis moesta,1
472,473,Colaespina Pechioscura,Dark-breasted Spinetail,João-de-peito-escuro,Synallaxis albigularis,5
473,474,Pijuí Ceja Canela,Azara´s Spinetail,No Existe Registro,Synallaxis azarae,12
474,475,Bailarín Blanco,White-bearded Manakin,Rendeira,Manacus manacus,1
475,476,Saltarín Cola de alambre,Wire-tailed Manakin,Rabo-de-arame,Pipra filicauda,1
476,477,Saltarín Alitorcido,Club-winged Manakin,No Existe Registro,Machaeropterus deliciosus,4
477,478,No Existe Registro,Striolated Manakin,Tangará-riscado,Machaeropterus striolatus,1
478,479,Bailarín Corona Blanca,White-crowned Manakin,Cabeça-branca,Pseudopipra pipra,3
479,480,Saltarín Cabecidorado,Golden-headed Manakin,Cabeça-de-ouro,Ceratopipra erythrocephala,4
480,481,Saltarín Coroniazul,Blue-crowned Manakin,Uirapuru-de-chapéu-azul,Lepidothrix coronata,1
481,482,Saltarín Lomiazul,Blue-rumped Manakin,No Existe Registro,Lepidothrix isidorei,1
482,483,Saltarín Alidorado,Golden-winged Manakin,No Existe Registro,Masius chrysopterus,2
483,484,Frutero Pechinaranja,Orange-breasted Fruiteater,No Existe Registro,Pipreola jucunda,1
484,485,Frutero Barreteado,Barred Fruiteater,No Existe Registro,Pipreola arcuata,1
485,486,Frutero Verdinegro,Green-and-black Fruiteater,No Existe Registro,Pipreola riefferii,4
486,487,No Existe Registro,Olivaceous Piha,No Existe Registro,Snowornis cryptolophus,3
487,488,Gallo de la Peña Andino,Andean Cock-of-the-rock,No Existe Registro,Rupicola peruvianus,17
488,489,Cotinga Crestada,Red-crested Cotinga,No Existe Registro,Ampelion rubrocristatus,2
489,490,Pájaro Toro,Purple-throated Fruitcrow,Anambé-una,Querula purpurata,2
490,491,Pájaro-Paraguas Longuipéndulo,Long-wattled Umbrellabird,No Existe Registro,Cephalopterus penduliger,2
491,492,Pájaro-Paraguas Amazónico,Amazonian Umbrellabird,Anambé-preto,Cephalopterus ornatus,4
492,493,Guardabosques Gritón,Screaming Piha,Cricrió,Lipaugus vociferans,1
493,494,Piha Oscura,Dusky Piha,No Existe Registro,Lipaugus fuscocinereus,2
494,495,Cotinga Golipúrpura,Plum-throated Cotinga,Cotinga-azul,Cotinga maynana,2
495,496,Cotinga Celeste,Spangled Cotinga,Anambé-azul,Cotinga cayana,1
496,497,Cuellopelado,Bare-necked Fruitcrow,Anambé-pombo,Gymnoderus foetidus,3
497,498,Mosquerito Rabadilla Amarilla,Sulphur-rumped Flycatcher,No Existe Registro,Myiobius sulphureipygius,2
498,499,Yodopleura Cejiblanca,White-browed Purpletuft,Anambé-de-coroa,Iodopleura isabellae,2
499,500,No Existe Registro,Western Black-tailed Tityra,Anambé-branco-de-rabo-preto,Tityra cayana,1
500,501,Tueré Enmascarado,Masked Tityra,Anambé-branco-de-máscara-negra,Tityra semifasciata,9
501,502,Anambé Barrado,Barred Becard,No Existe Registro,Pachyramphus versicolor,1
502,503,No Existe Registro,Yellow-cheeked Becard,Caneleiro-de-cara-amarela,Pachyramphus xanthogenys,1
503,504,Cabezón Pizarra,Slaty Becard,No Existe Registro,Pachyramphus spodiurus,2
504,505,Cabezón Golirrosado,Pink-throated Becard,Caneleiro-pequeno,Pachyramphus minor,1
505,506,Cabezón Unicolor,One-colored Becard,No Existe Registro,Pachyramphus homochrous,13
506,507,Anambé Canelo,Cinnamon Becard,No Existe Registro,Pachyramphus cinnamomeus,4
507,508,Anambé Común,White-winged Becard,Caneleiro-preto,Pachyramphus polychopterus,4
508,509,No Existe Registro,Western White-throated Spadebill,No Existe Registro,Platyrinchus albogularis,2
509,510,Piquichato Coronirrufo,Golden-crowned Spadebill,Patinho-de-coroa-dourada,Platyrinchus coronatus,1
510,511,Orejerito Ecuatoriano,Ecuadorian Tyrannulet,No Existe Registro,Phylloscartes gualaquizae,5
511,512,Atrapamoscas Variegado,Variegated Bristle-tyrant,No Existe Registro,Pogonotriccus poecilotis,1
512,513,Orejerito Caripunteado,Marble-faced Bristle-tyrant,No Existe Registro,Pogonotriccus ophthalmicus,1
513,514,Orejerito de Anteojos,Spectacled Bristle-tyrant,No Existe Registro,Pogonotriccus orbitalis,1
514,515,Atrapamoscas Estriado,Streak-necked Flycatcher,No Existe Registro,Mionectes striaticollis,1
515,516,No Existe Registro,Olive-striped Flycatcher,No Existe Registro,Mionectes galbinus,2
516,517,Mosquero Aceitunado,Ochre-bellied Flycatcher,Abre-asa,Mionectes oleagineus,1
517,518,Orejero Coronigrís,Slaty-capped Flycatcher,No Existe Registro,Leptopogon superciliaris,6
518,519,No Existe Registro,Western Olivaceous Flatbill,No Existe Registro,Rhynchocyclus aequinoctialis,1
519,520,Picochato Grande,Yellow-olive Flatbill,Bico-chato-de-orelha-preta,Tolmomyias sulphurescens,2
520,521,No Existe Registro,Yellow-winged Flatbill,No Existe Registro,Tolmomyias flavotectus,1
521,522,Pico-ancho De Corona Gris,Grey-crowned Flatbill,Bico-chato-de-cabeça-cinza,Tolmomyias poliocephalus,1
522,523,Mosquerito de Yelmo,Scale-crested Pygmy-tyrant,No Existe Registro,Lophotriccus pileatus,10
523,524,Titirijí Gorginegro,Black-throated Tody-tyrant,No Existe Registro,Hemitriccus granadensis,1
524,525,Titirijí Manchado,Spotted Tody-flycatcher,Ferreirinho-estriado,Todirostrum maculatum,1
525,526,Mosqueta Pico Pala,Common Tody-flycatcher,Ferreirinho-relógio,Todirostrum cinereum,10
526,527,Espatulilla Cabecinegra,Black-headed Tody-flycatcher,No Existe Registro,Todirostrum nigriceps,2
527,528,Espatulilla Cejiamarilla,Yellow-browed Tody-flycatcher,Ferreirinho-de-sobrancelha,Todirostrum chrysocrotaphum,2
528,529,No Existe Registro,Eastern Ornate Flycatcher,No Existe Registro,Myiotriccus phoenicurus,4
529,530,Mosquerito Adornado,Western Ornate Flycatcher,No Existe Registro,Myiotriccus ornatus,10
530,531,No Existe Registro,Orange-banded Flycatcher,No Existe Registro,Nephelomyias lintoni,1
531,532,Birro Chico,Cinnamon Flycatcher,No Existe Registro,Pyrrhomyias cinnamomeus,8
532,533,Birro Castaño,Cliff Flycatcher,Gibão-de-couro,Hirundinea ferruginea,2
533,534,Mosquerito Pico Rojo,Red-billed Tyrannulet,No Existe Registro,Zimmerius cinereicapilla,1
534,535,Tiranuelo Cejiamarillo,Golden-faced Tyrannulet,No Existe Registro,Zimmerius chrysops,5
535,536,No Existe Registro,Choco Tyrannulet,No Existe Registro,Zimmerius albigularis,5
536,537,Tiranolete Patitenue,Slender-footed Tyrannulet,Poiaeiro-de-pata-fina,Zimmerius gracilipes,1
537,538,No Existe Registro,Tawny-fronted Pygmy-tyrant,No Existe Registro,Euscarthmus fulviceps,12
538,539,No Existe Registro,Brown-capped Tyrannulet,No Existe Registro,Ornithion brunneicapillus,1
539,540,Piojito Silbón,Southern Beardless Tyrannulet,Risadinha,Camptostoma obsoletum,29
540,541,Elenia Cachudita,Mottle-backed Elaenia,No Existe Registro,Elaenia gigas,4
541,542,Fiofío Oscuro,Highland Elaenia,No Existe Registro,Elaenia obscura,1
542,543,Fiofío Copetón,Yellow-bellied Elaenia,Guaracava-de-barriga-amarela,Elaenia flavogaster,17
543,544,Elenia Serrana,Sierran Elaenia,No Existe Registro,Elaenia pallatangae,1
544,545,Fiofío Silbón,White-crested Elaenia,Guaracava-de-crista-branca,Elaenia albiceps,5
545,546,Mosquerito Coroniamarilo,Yellow-crowned Tyrannulet,Maria-te-viu,Tyrannulus elatus,2
546,547,Elenita del Pacífico,Pacific Elaenia,No Existe Registro,Myiopagis subplacens,4
547,548,Fiofío Corona Dorada,Greenish Elaenia,Guaracava-de-crista-alaranjada,Myiopagis viridicata,1
548,549,Mosqueta Ceja Amarilla,Yellow Tyrannulet,Marianinha-amarela,Capsiempis flaveola,2
549,550,Tiranolete Coronitiznado,Sooty-headed Tyrannulet,Piolhinho-de-cabeça-cinza,Phyllomyias griseiceps,2
550,551,Tiranuelo Cabecinegro,Black-capped Tyrannulet,No Existe Registro,Phyllomyias nigrocapillus,1
551,552,Atrapamoscas Rabadilla Leonada,Tawny-rumped Tyrannulet,No Existe Registro,Phyllomyias uropygialis,1
552,553,Piojito Pardo,Mouse-colored Tyrannulet,Bagageiro,Phaeomyias murina,5
553,554,Tiranolete Gris y Blanco,Grey-and-white Tyrannulet,No Existe Registro,Pseudelaenia leucospodia,1
554,555,Tiranillo Coliblanco,White-tailed Tyrannulet,No Existe Registro,Mecocerculus poecilocercus,3
555,556,Tiranillo libandeado,White-banded Tyrannulet,No Existe Registro,Mecocerculus stictopterus,2
556,557,Tiranillo Alirrufo,Rufous-winged Tyrannulet,No Existe Registro,Mecocerculus calopterus,2
557,558,Tiranillo Ventriazufrado,Sulphur-bellied Tyrannulet,No Existe Registro,Mecocerculus minor,1
558,559,Cachudito Pico Negro,Tufted Tit-tyrant,No Existe Registro,Anairetes parulus,6
559,560,Mosquerito Guardarríos,Torrent Tyrannulet,No Existe Registro,Serpophaga cinerea,2
560,561,Cachudito Agil,Agile Tit-tyrant,No Existe Registro,Uromyias agilis,1
561,562,Cazamoscas de Cola Corta,Short-tailed Field-tyrant,No Existe Registro,Muscigralla brevicauda,1
562,563,Atila Canelo,Cinnamon Attila,Tinguaçu-ferrugem,Attila cinnamomeus,3
563,564,Atila Ocráceo,Ochraceous Attila,No Existe Registro,Attila torridus,1
564,565,Tuquito Chico,Piratic Flycatcher,Bem-te-vi-pirata,Legatus leucophaius,3
565,566,Benteveo Común,Great Kiskadee,Bem-te-vi,Pitangus sulphuratus,8
566,567,Benteveo Pico Fino,Lesser Kiskadee,Bentevizinho-do-brejo,Philohydor lictor,5
567,568,Picabuey,Cattle Tyrant,Suiriri-cavaleiro,Machetornis rixosa,1
568,569,Pitanguá,Boat-billed Flycatcher,Neinei,Megarynchus pitangua,28
569,570,Benteveo Vientridorado,Golden-bellied Flycatcher,No Existe Registro,Myiodynastes hemichrysus,13
570,571,Mosquero de Baird,Baird´s Flycatcher,No Existe Registro,Myiodynastes bairdii,8
571,572,Bienteveo Ventriazufrado,Sulphur-bellied Flycatcher,Bem-te-vi-de-barriga-sulfúrea,Myiodynastes luteiventris,1
572,573,No Existe Registro,Northern Streaked Flycatcher,Bem-te-vi-rajado,Myiodynastes maculatus,11
573,574,Benteveo Ala Rojiza,Rusty-margined Flycatcher,Bentevizinho-de-asa-ferrugínea,Myiozetetes cayanensis,11
574,575,Benteveo Mediano,Social Flycatcher,Bentevizinho-de-penacho-vermelho,Myiozetetes similis,35
575,576,Mosquero De Gorro Gris,Grey-capped Flycatcher,Bem-te-vi-de-cabeça-cinza,Myiozetetes granadensis,5
576,577,Mosquero Cabecianillado,White-ringed Flycatcher,No Existe Registro,Conopias albovittatus,4
577,578,Mosquero Cejilimón,Lemon-browed Flycatcher,No Existe Registro,Conopias cinchoneti,2
578,579,Tuquito Gris,Crowned Slaty Flycatcher,Peitica-de-chapéu-preto,Griseotyrannus aurantioatrocristatus,1
579,580,Tirano Goliníveo,Snowy-throated Kingbird,No Existe Registro,Tyrannus niveigularis,17
580,581,Suirirí Real,Tropical Kingbird,Suiriri,Tyrannus melancholicus,55
581,582,Suirirí Boreal,Eastern Kingbird,Suiriri-valente,Tyrannus tyrannus,5
582,583,Tijereta,Fork-tailed Flycatcher,Tesourinha,Tyrannus savana,1
583,584,Plañidero Grisáceo,Greyish Mourner,Vissiá,Rhytipterna simplex,1
584,585,Burlisto Corona Negra,Dusky-capped Flycatcher,Maria-cavaleira-pequena,Myiarchus tuberculifer,11
585,586,Copetón Coronitiznado,Sooty-crowned Flycatcher,No Existe Registro,Myiarchus phaeocephalus,7
586,587,Atrapamoscas Montañero,Pale-edged Flycatcher,No Existe Registro,Myiarchus cephalotes,1
587,588,Papamosca de Galápagos,Galapagos Flycatcher,No Existe Registro,Myiarchus magnirostris,39
588,589,Yetapá Negro,Long-tailed Tyrant,Viuvinha,Colonia colonus,2
589,590,Mosqueta Estriada,Bran-colored Flycatcher,Filipe,Myiophobus fasciatus,3
590,591,Mosqueta Pechioliva,Olive-chested Flycatcher,No Existe Registro,Myiophobus cryptoxanthus,2
591,592,Mosqueta Flavescente,Flavescent Flycatcher,No Existe Registro,Myiophobus flavicans,1
592,593,Pitajo Ventriamarillo,Yellow-bellied Chat-tyrant,No Existe Registro,Silvicultrix diadema,1
593,594,Pitajo Torrentero,Slaty-backed Chat-tyrant,No Existe Registro,Ochthoeca cinnamomeiventris,2
594,595,Pitajo Pecho Rufo,Rufous-breasted Chat-tyrant,No Existe Registro,Ochthoeca rufipectoralis,5
595,596,Pitajo Ahumado,Brown-backed Chat-tyrant,No Existe Registro,Ochthoeca fumicolor,3
596,597,Churrinche,Common Vermilion Flycatcher,Príncipe,Pyrocephalus rubinus,22
597,598,Churrinche de Galápagos,Little Vermilion Flycatcher,No Existe Registro,Pyrocephalus nanus,2
598,599,Viudita Enmascarada,Masked Water-tyrant,Lavadeira-mascarada,Fluvicola nengeta,18
599,600,Dormilona Chica,Spot-billed Ground-tyrant,No Existe Registro,Muscisaxicola maculirostris,4
600,601,Dormilona Gorrillana,Plain-capped Ground-tyrant,No Existe Registro,Muscisaxicola alpinus,2
601,602,Gaucho Serrano,Black-billed Shrike-tyrant,No Existe Registro,Agriornis montanus,4
602,603,Gaucho Andino,White-tailed Shrike-tyrant,No Existe Registro,Agriornis albicauda,2
603,604,Birro Grande,Streak-throated Bush-tyrant,No Existe Registro,Myiotheretes striaticollis,5
604,605,Pitajo Ribereño,Drab Water-tyrant,Maria-da-praia,Ochthornis littoralis,2
605,606,Mosquerito Pechigris,Grey-breasted Flycatcher,No Existe Registro,Lathrotriccus griseipectus,2
606,607,Viudita de Río,Black Phoebe,No Existe Registro,Sayornis nigricans,18
607,608,Mosquero Verdoso,Acadian Flycatcher,No Existe Registro,Empidonax virescens,1
608,609,Burlisto Oliváceo,Olive-sided Flycatcher,Piui-boreal,Contopus cooperi,4
609,610,Burlisto Copetón,Smoke-colored Pewee,Piui-de-topete,Contopus fumigatus,13
610,611,Pibí Occidental,Western Wood-pewee,No Existe Registro,Contopus sordidulus,4
611,612,Pibí Negruzco,Blackish Pewee,Piui-preto,Contopus nigrescens,1
612,613,Juan Chiviro,Rufous-browed Peppershrike,Pitiguari,Cyclarhis gujanensis,15
613,614,Verderón Piquinegro,Black-billed Peppershrike,No Existe Registro,Cyclarhis nigrirostris,2
614,615,Verdillo Oliváceo,Olivaceous Greenlet,No Existe Registro,Hylophilus olivaceus,4
615,616,Vireón Gorripizarra,Slaty-capped Shrike-vireo,Assobiador-do-castanhal,Vireolanius leucotis,2
616,617,Verdillo Menudo,Lesser Greenlet,No Existe Registro,Pachysylvia decurtata,1
617,618,Vireo Coronipardo,Brown-capped Vireo,No Existe Registro,Vireo leucophrys,7
618,619,No Existe Registro,Red-eyed Vireo,Juruviara-boreal,Vireo olivaceus,13
619,620,Chiví Común,Chivi Vireo,Juruviara,Vireo chivi,2
620,621,Urraquita Turquesa,Turquoise Jay,No Existe Registro,Cyanolyca turcosa,11
621,622,Colluelo,Violaceous Jay,Gralha-violácea,Cyanocorax violaceus,10
622,623,Chara Verde,Green Jay,No Existe Registro,Cyanocorax yncas,7
623,624,Urraquita Coliblanca,White-tailed Jay,No Existe Registro,Cyanocorax mystacalis,3
624,625,Angú,Donacobius,Japacanim,Donacobius atricapilla,3
625,626,No Existe Registro,No Existe Registro,No Existe Registro,Progne sp.,1
626,627,Golondrina Rabadilla Canela,Cliff Swallow,Andorinha-de-dorso-acanelado,Petrochelidon pyrrhonota,1
627,628,Golondrina Cuellirrufa,Chestnut-collared Swallow,No Existe Registro,Petrochelidon rufocollaris,1
628,629,Golondrina Tijerita,Barn Swallow,Andorinha-de-bando,Hirundo rustica,1
629,630,Golondrina Zapadora,Collared Sand Martin,Andorinha-do-barranco,Riparia riparia,2
630,631,Golondrina Bicolor,Tree Swallow,No Existe Registro,Tachycineta bicolor,1
631,632,Golondrina Ala Blanca,White-winged Swallow,Andorinha-do-rio,Tachycineta albiventer,10
632,633,Golondrina Parda,Brown-chested Martin,Andorinha-do-campo,Progne tapera,7
633,634,Golondrina Doméstica,Grey-breasted Martin,Andorinha-grande,Progne chalybea,25
634,635,Golondrina Ribereña,Southern Rough-winged Swallow,Andorinha-serradora,Stelgidopteryx ruficollis,21
635,636,Golondrina Barranquera,Blue-and-white Swallow,Andorinha-pequena-de-casa,Pygochelidon cyanoleuca,39
636,637,Golondrina Fajiblanca,White-banded Swallow,Peitoril,Atticora fasciata,6
637,638,No Existe Registro,White-thighed Swallow,Calcinha-branca,Atticora tibialis,2
638,639,Golondrina Plomiza,Brown-bellied Swallow,No Existe Registro,Orochelidon murina,6
639,640,Soterillo Picudo,Long-billed Gnatwren,Bico-assovelado,Ramphocaenus melanurus,2
640,641,Perlita Tropical,Tropical Gnatcatcher,Balança-rabo-de-chapéu-preto,Polioptila plumbea,21
641,642,Perlita Pechipizarra,Slate-throated Gnatcatcher,No Existe Registro,Polioptila schistaceigula,1
642,643,Chochín Ruiseñor Sureño,Southern Nightingale-wren,Uirapuru-veado,Microcerculus marginatus,1
643,644,Ratona Común,House Wren,Corruira,Troglodytes aedon,44
644,645,Ratona Ceja Blanca,Mountain Wren,No Existe Registro,Troglodytes solstitialis,4
645,646,Ratona Aperdizada,Grass Wren,Corruíra-do-campo,Cistothorus platensis,3
646,647,Chochín Ondeado,Fasciated Wren,No Existe Registro,Campylorhynchus fasciatus,22
647,648,Soterrey Matraquero,Band-backed Wren,No Existe Registro,Campylorhynchus zonatus,1
648,649,Ratona Grande,Thrush-like Wren,Catatau,Campylorhynchus turdinus,6
