;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
844;;;;Scarlet-bellied Mountain-tanager;;Anisognathus lunulatus;8
845;;;Tangara Lacrimosa;Lacrimose Mountain-tanager;;Anisognathus lacrymosus;2
846;;;Tangara Verde Reluciente;Glistening-green Tanager;;Chlorochrysa phoenicotis;3
847;;;Tangara Orejinaranja;Orange-eared Tanager;;Chlorochrysa calliparaea;3
848;;;Tangara Dorsimusgosa;Moss-backed Tanager;;Bangsia edwardsi;2
849;;;Frutero Overo;Magpie Tanager;Tietinga;Cissopis leverianus;9
850;;;Cardenal Bandera Alemana;Red-capped Cardinal;Cardeal-da-amazônia;Paroaria gularis;5
851;;;Tangara Golirrufa;Rufous-throated Tanager;;Tangara rufigula;3
852;;;Tangara Punteada;Spotted Tanager;Saíra-negaça;Tangara punctata;4
853;;;Tangara Ventriamarilla;Yellow-bellied Tanager;Saíra-de-barriga-amarela;Tangara xanthogastra;2
854;;;Tangara Nuquidorada;Golden-naped Tanager;;Tangara ruficervix;9
855;;;Tangara Doradigris;Grey-and-gold Tanager;;Tangara palmeri;1
856;;;Azulejo de Jardín;Blue-grey Tanager;Sanhaço-azul;Tangara episcopus;68
857;;;Celestino Oliváceo;Palm Tanager;Sanhaco-do-coqueiro;Tangara palmarum;26
858;;;Tangara Capirotada;Black-capped Tanager;;Tangara heinei;6
859;;;Tangara Capuchidorada;Golden-hooded Tanager;;Tangara larvata;2
860;;;Tangara Cabeciazul;Blue-necked Tanager;Saíra-de-cabeça-azul;Tangara cyanicollis;15
861;;;Tángara de Pecho Negro;Masked Tanager;Saíra-mascarada;Tangara nigrocincta;2
862;;;Tangara Matorralera;Scrub Tanager;;Tangara vitriolina;6
863;;;Tangara Negriazul;Blue-and-black Tanager;;Tangara vassorii;2
864;;;Tanagara Mariposa;Beryl-spangled Tanager;;Tangara nigroviridis;6
865;;;Tangara Cejiazul;Blue-browed Tanager;;Tangara cyanotis;2
866;;;Tangara Verdimetálica;Metallic-green Tanager;;Tangara labradorides;4
867;;;Tangara Cabecicastaña;Bay-headed Tanager;Saíra-de-cabeça-castanha;Tangara gyrola;15
868;;;Tangara Orejidorada;Golden-eared Tanager;;Tangara chrysotis;6
869;;;Tangara Coroniazafrán;Saffron-crowned Tanager;;Tangara xanthocephala;5
870;;;Tangara Cara de Fuego;Flame-faced Tanager;;Tangara parzudakii;13
871;;;Tangara Verde y Dorada;Green-and-gold Tanager;Saíra-ouro;Tangara schrankii;1
872;;;;Golden Tanager;;Tangara aurulenta;26
873;;;Tangara Goliplata;Silver-throated Tanager;;Tangara icterocephala;11
874;;;Tangara Turquesa;Turquoise Tanager;Saíra-de-bando;Tangara mexicana;3
875;;;Tangara del Paraíso;Paradise Tanager;Sete-cores-da-amazônia;Tangara chilensis;5
876;;;Tangara Cejiopalina;Opal-crowned Tanager;Saíra-opala;Tangara callophrys;2
877;;;Tangara Velia;Opal-rumped Tanager;Saíra-diamante;Tangara velia;1
878;Strigiformes;Tytonidae;Lechuza de Campanario;Common Barn-owl;Suindara;Tyto alba;2
879;;Strigidae;Mochuelo Ecuatoriano;Cloud-forest Pygmy-owl;;Glaucidium nubicola;1
880;;;Caburé Andino;Andean Pygmy-owl;;Glaucidium jardinii;2
881;;;Mochuelo del Pacífico;Peruvian Pygmy-owl;;Glaucidium peruanum;17
882;;;Lechucita Vizcachera;Burrowing Owl;Coruja-buraqueira;Athene cunicularia;5
883;;;Lechuzón Negruzco;Stygian Owl;Mocho-diabo;Asio stygius;1
884;;;Lechuzón Orejudo;Striped Owl;Coruja-orelhuda;Asio clamator;1
885;;;Lechuzón Campestre;Short-eared Owl;Mocho-dos-banhados;Asio flammeus;3
886;;;Alilicucú Común;Tropical Screech-owl;Corujinha-do-mato;Megascops choliba;5
887;;;;Peruvian Screech-owl;;Megascops roboratus;2
888;;;;Vermiculated Screech-owl;;Megascops vermiculatus;1
889;;;Lechuzón Mocho Grande;Spectacled Owl;Murucututu;Pulsatrix perspicillata;7
890;;;Lechuzón Acollarado Grande;Band-bellied Owl;;Pulsatrix melanota;2
891;;;Lechuza Estriada;Mottled Owl;Coruja-do-mato;Ciccaba virgata;1
892;;;Búho Carinegro;Black-and-white Owl;;Ciccaba nigrolineata;2
893;;;Lechuza Negra;Black-banded Owl;Coruja-preta;Ciccaba huhula;2
894;Piciformes;Galbulidae;Jacamar Orejiblanco;White-eared Jacamar;Ariramba-vermelha;Galbalcyrhynchus leucotis;3
895;;;Jacamar Barbiblanco;White-chinned Jacamar;Ariramba-de-barba-branca;Galbula tombacea;2
896;;;Jacamar Pechicobrizo;Coppery-chested Jacamar;;Galbula pastazae;2
897;;;Jacamar Grande;Great Jacamar;Jacamaraçu;Jacamerops aureus;2
898;;Bucconidae;Buco Pinto;Greater Pied Puffbird;Macuru-pintado;Notharchus tectus;1
899;;;Buco Barreteado;Barred Puffbird;;Nystalus radiatus;1
900;;;Buco Pechiblanco;White-chested Puffbird;Barbudo-pardo;Malacoptila fusca;1
901;;;Buco barbon;White-whiskered Puffbird;;Malacoptila panamensis;2
902;;;Buco Negrilistado;Black-streaked Puffbird;;Malacoptila fulvogularis;2
903;;;Monjito Rayado;Lanceolated Monklet;Macuru-papa-mosca;Micromonacha lanceolata;1
904;;;Chacurú Chico;Rusty-breasted Nunlet;Macuru;Nonnula rubecula;1
905;;;Bati Bati;Black-fronted Nunbird;Chora-chuva-preto;Monasa nigrifrons;8
906;;;Monja Frentiblanca;White-fronted Nunbird;Chora-chuva-de-cara-branca;Monasa morphoeus;1
907;;;Monja Piquigualda;Yellow-billed Nunbird;Chora-chuva-de-bico-amarelo;Monasa flavirostris;3
908;;;Buco Golondrina;Swallow-winged Puffbird;Urubuzinho;Chelidoptera tenebrosa;1
909;;Ramphastidae;Tucán Pico Castaño;Yellow-throated Toucan;;Ramphastos ambiguus;8
910;;;Tucán de Cuvier;Cuvier´s Toucan;;Ramphastos cuvieri;7
