;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
111;;;Inca Collarejo;Collared Inca;;Coeligena torquata;9
112;;;Inca Arcoiris;Rainbow Starfrontlet;;Coeligena iris;1
113;;;Inca Alihabano;Buff-winged Starfrontlet;;Coeligena lutetiae;6
114;;;Colibrí Picoespada;Sword-billed Hummingbird;;Ensifera ensifera;5
115;;;Alizafiro Grande;Great Sapphirewing;;Pterophanes cyanopterus;2
116;;;Colibrí Colihabano;Buff-tailed Coronet;;Boissonneaua flavescens;12
117;;;Colibrí Pechirojo;Chestnut-breasted Coronet;;Boissonneaua matthewsii;5
118;;;Colibrí Sietecolores;Velvet-purple Coronet;;Boissonneaua jardini;9
119;;;Cola de Raqueta;Booted Racket-tail;;Ocreatus underwoodii;21
120;;;Colibrí de Bouguer;Rufous-gaped Hillstar;;Urochroa bougueri;4
121;;;Colibrí Puntablanca Occidental;Purple-bibbed Whitetip;;Urosticte benjamini;7
122;;;Colibrí Puntablanca Oriental;Rufous-vented Whitetip;;Urosticte ruficrissa;2
123;;;Brillante Ventrinegro;Black-throated Brilliant;Brilhante-de-garganta-preta;Heliodoxa schreibersii;2
124;;;Brillante Pechicastaño;Gould´s Brilliant;Beija-flor-estrela;Heliodoxa aurescens;3
125;;;Diamante Pechigamuza;Fawn-breasted Brilliant;;Heliodoxa rubinoides;16
126;;;Brillante Coroniverde;Green-crowned Brilliant;;Heliodoxa jacula;13
127;;;Brillante Emperador;Empress Brilliant;;Heliodoxa imperatrix;12
128;;;Brillante Frentivioleta;Violet-fronted Brilliant;;Heliodoxa leadbeateri;4
129;;;Picaflor Gigante;Giant Hummingbird;;Patagona gigas;2
130;;;Colibrí Piquilargo;Long-billed Starthroat;Bico-reto-cinzento;Heliomaster longirostris;3
131;;;Picaflor Amatista;Amethyst Woodstar;Estrelinha-ametista;Calliphlox amethystina;1
132;;;Colibrí Colicorto;Short-tailed Woodstar;;Myrmia micrura;9
133;;;Picaflor De Fanny;Purple-collared Woodstar;;Myrtis fanny;1
134;;;Rumbito Pechiblanco;White-bellied Woodstar;;Chaetocercus mulsant;9
135;;;Estrellita Chica;Little Woodstar;;Chaetocercus bombus;5
136;;;;Gorgeted Woodstar;;Chaetocercus heliodor;4
137;;;;Esmeraldas Woodstar;;Chaetocercus berlepschi;1
138;;;Estrellita Gorjipúrpura;Purple-throated Woodstar;;Philodice mitchellii;15
139;;;Esmeralda Coliazul;Blue-tailed Emerald;Esmeralda-de-cauda-azul;Chlorostilbon mellisugus;10
140;;;Colibrí Cabeciazul;Violet-headed Hummingbird;;Klais guimeti;4
141;;;Colibrí Pechigrís;Grey-breasted Sabrewing;Asa-de-sabre-cinza;Campylopterus largipennis;1
142;;;Colibrí del Napo;Napo Sabrewing;;Campylopterus villaviscensio;1
143;;;Zafiro Coroniazul;Crowned Woodnymph;;Thalurania colombica;12
144;;;Picaflor Zafiro;Fork-tailed Woodnymph;Beija-flor-tesoura-verde;Thalurania furcata;6
145;;;Colibrí Moteado;Many-spotted Hummingbird;;Taphrospilus hypostictus;6
146;;;Amazilia Rabirrufa;Rufous-tailed Hummingbird;;Amazilia tzacatl;29
147;;;Amazilia Andina;Andean Emerald;;Amazilia franciae;20
148;;;Amazilia Costeña;Amazilia Hummingbird;;Amazilis amazilia;21
149;;;Zafiro De Cola Dorada;Golden-tailed Sapphire;Beija-flor-de-cauda-dourada;Chrysuronia oenone;6
150;;;Zafiro Cabeciazul;Gray´s Hummingbird;;Chrysuronia grayi;1
151;;;Diamante Gargantiverde;Glittering-throated Emerald;Beija-flor-de-garganta-verde;Chionomesa fimbriata;3
152;;;;Spot-vented Emerald;;Chionomesa bartletti;1
153;;;Picaflor Cola Castaña;Rufous-throated Hummingbird;Beija-flor-safira;Hylocharis sapphirina;1
154;;;Amazilia de Rosenberg;Purple-chested Hummingbird;;Polyerata rosenbergi;1
155;;;Colibrí de Julia;Violet-bellied Hummingbird;;Chlorestes julie;3
156;Opisthocomiformes;Opisthocomidae;Hoazín;Hoatzin;Cigana;Opisthocomus hoazin;9
157;Cuculiformes;Cuculidae;Anó Grande;Greater Ani;Anu-coroca;Crotophaga major;11
158;;;Anó Chico;Smooth-billed Ani;Anu-preto;Crotophaga ani;86
159;;;Anó Pico Surcado;Groove-billed Ani;;Crotophaga sulcirostris;23
160;;;Crespín;Striped Cuckoo;Saci;Tapera naevia;6
161;;;Cuco-ardilla Chico;Little Cuckoo;Chincoã-pequeno;Coccycua minuta;5
162;;;Tingazú;Common Squirrel-cuckoo;Alma-de-gato;Piaya cayana;18
163;;;Cuclillo Canela;Dark-billed Cuckoo;Papa-lagarta-acanelado;Coccyzus melacoryphus;2
164;;;Cuclillo Ojo Colorado;Black-billed Cuckoo;Papa-lagarta-de-bico-preto;Coccyzus erythropthalmus;2
165;;;Cuclillo Cabecigrís;Grey-capped Cuckoo;;Coccyzus lansbergi;1
166;Gruiformes;Heliornithidae;Ipequí;Sungrebe;Picaparra;Heliornis fulica;5
167;;Rallidae;Burrito Común;Rufous-sided Crake;Sanã-parda;Laterallus melanophaius;1
168;;;Chiricote;Grey-cowled Wood-rail;Saracura-três-potes;Aramides cajaneus;1
169;;;Cotara Cuellirrufa;Rufous-necked Wood-rail;;Aramides axillaris;2
170;;;Gallineta Negruzca;Blackish Rail;Saracura-sanã;Pardirallus nigricans;1
171;;;Gallineta Común;Plumbeous Rail;Saracura-do-banhado;Pardirallus sanguinolentus;1
172;;;Polluela Sora;Sora;Sora;Porzana carolina;1
173;;;Pollona Azul;Purple Gallinule;Frango-d´água-azul;Porphyrio martinicus;8
174;;;Pollona Celeste;Azure Gallinule;Frango-d´água-pequeno;Porphyrio flavirostris;1
175;;;Pollona Negra;Common Gallinule;Galinha-d’água;Gallinula galeata;20
176;;;Gallareta Andina;Andean Coot;;Fulica ardesiaca;4
177;;Psophiidae;Trompetero Aligrís;Grey-winged Trumpeter;Jacamim-de-costas-cinzentas;Psophia crepitans;3
178;;Aramidae;Carau;Limpkin;Carão;Aramus guarauna;5
179;Sphenisciformes;Spheniscidae;Pingüino de las Galápagos;Galapagos Penguin;;Spheniscus mendiculus;15
180;Procellariiformes;Oceanitidae;Golondrina de Mar Chica;White-vented Storm-petrel;;Oceanites gracilis;18
181;;Hydrobatidae;;;;Hydrobatidae sp.;6
182;;;Golondrina De Mar De Madeira;Band-rumped Storm-petrel;;Hydrobates castro;5
183;;;Golondrina de Mar Peruana;Wedge-rumped Storm-petrel;;Hydrobates tethys;10
184;;;Golondrina de Mar Negra;Markham´s Storm-petrel;;Hydrobates markhami;2
185;;Diomedeidae;Albatros de Galápagos;Waved Albatross;;Phoebastria irrorata;26
186;;Procellariidae;Petrel de Galapagos;Galapagos Petrel;;Pterodroma phaeopygia;47
187;;;Fardela de Dorso gris;Buller´s Shearwater;;Ardenna bulleri;1
188;;;Pardela Oscura;Sooty Shearwater;Bobo-escuro;Ardenna grisea;4
189;;;Pardela Pico Rosado;Pink-footed Shearwater;;Ardenna creatopus;2
190;;;Pardela de Galápagos;Galapagos Shearwater;;Puffinus subalaris;61
191;Pelecaniformes;Threskiornithidae;Espátula Rosada;Roseate Spoonbill;Colhereiro;Platalea ajaja;13
192;;;Bandurria Andina;Andean Ibis;;Theristicus branickii;1
193;;;Tapicurú;Green Ibis;Coró-coró;Mesembrinibis cayennensis;2
194;;;Ibis Blanco;White Ibis;Íbis-branco;Eudocimus albus;16
195;;;Ibis Castaña;Glossy Ibis;;Plegadis falcinellus;1
196;;Ardeidae;Hocó Colorado;Rufescent Tiger-heron;Socó-boi;Tigrisoma lineatum;8
197;;;Hocó Oscuro;Fasciated Tiger-heron;Socó-boi-escuro;Tigrisoma fasciatum;1
198;;;Garza Agamí;Agami Heron;Garça-da-mata;Agamia agami;1
199;;;Garza Cucharona;Boat-billed Heron;Arapapá;Cochlearius cochlearius;3
200;;;Mirasol Chico;Least Bittern;Socoí-vermelho;Ixobrychus exilis;2
201;;;Garza Bruja;Black-crowned Night-heron;Socó-dorminhoco;Nycticorax nycticorax;13
202;;;Garza Nocturna;Yellow-crowned Night-heron;Savacu-de-coroa;Nyctanassa violacea;31
203;;;Garcita Azulada;Green-backed Heron;Socozinho;Butorides striata;56
204;;;Garcita Bueyera;Cattle Egret;Garça-vaqueira;Bubulcus ibis;52
205;;;Garza Ceniza;Great Blue Heron;Garça-azul-grande;Ardea herodias;21
206;;;Garza Mora;Cocoi Heron;Garça-moura;Ardea cocoi;20
207;;;Garza Blanca;Great White Egret;Garça-branca-grande;Ardea alba;33
208;;;Garcita Real;Capped Heron;Garça-real;Pilherodius pileatus;4
209;;;Garceta Tricolor;Tricolored Heron;Garça-tricolor;Egretta tricolor;8
210;;;Garza Azul;Little Blue Heron;Garça-azul;Egretta caerulea;9
211;;;Garcita Blanca;Snowy Egret;Garça-branca-pequena;Egretta thula;29
212;;Pelecanidae;Pelícano Pardo;Brown Pelican;Pelicano-pardo;Pelecanus occidentalis;86
213;;;Pelícano Peruano;Peruvian Pelican;;Pelecanus thagus;11
214;Suliformes;Fregatidae;;;;Fregata sp.;10
215;;;Ave Fragata Pelágica;Great Frigatebird;Tesourão-grande;Fregata minor;12
216;;;Ave Fragata;Magnificent Frigatebird;Fragata;Fregata magnificens;87
217;;Sulidae;;;;Sula sp.;2
218;;;Piquero Patas Rojas;Red-footed Booby;Atobá-de-pé-vermelho;Sula sula;10
219;;;Piquero Pardo;Brown Booby;Atobá-pardo;Sula leucogaster;3
220;;;Piquero Patas Azules;Blue-footed Booby;;Sula nebouxii;82
221;;;Piquero Peruano;Peruvian Booby;;Sula variegata;4
222;;;Piquero de Nazca;Nazca Booby;;Sula granti;35
223;;Phalacrocoracidae;Guanay;Guanay Cormorant;;Leucocarbo bougainvilliorum;1
224;;;Biguá;Neotropical Cormorant;Biguá;Nannopterum brasilianum;21
225;;;Cormorán Mancón;Flightless Cormorant;;Nannopterum harrisi;1
226;;Anhingidae;Aninga;Anhinga;Biguatinga;Anhinga anhinga;13
227;Charadriiformes;Haematopodidae;Ostrero Común;American Oystercatcher;Piru-piru;Haematopus palliatus;11
228;;Recurvirostridae;Tero Real;Black-winged Stilt;Pernilongo-de-costas-brancas;Himantopus himantopus;25
229;;Charadriidae;Chorlo Ártico;Grey Plover;Batuiruçu-de-axila-preta;Pluvialis squatarola;9
230;;;Chorlo Cabezón;Tawny-throated Dotterel;Batuíra-de-papo-ferrugíneo;Oreopholus ruficollis;1
231;;;Chorlito Palmado;Semipalmated Plover;Batuíra-de-bando;Charadrius semipalmatus;13
232;;;Frailecillo de Wilson;Wilson´s Plover;Batuíra-bicuda;Charadrius wilsonia;2
233;;;Fraile;Killdeer;;Charadrius vociferus;6
234;;;Chorlo Nevado;Snowy Plover;;Charadrius nivosus;4
235;;;Chorlito de Collar;Collared Plover;Batuíra-de-coleira;Charadrius collaris;3
236;;;Tero Común;Southern Lapwing;Quero-quero;Vanellus chilensis;7
237;;;Tero Serrano;Andean Lapwing;;Vanellus resplendens;5
238;;Thinocoridae;Agachona Grande;Rufous-bellied Seedsnipe;;Attagis gayi;1
239;;Jacanidae;Jacana;Wattled Jacana;Jaçanã;Jacana jacana;11
240;;Scolopacidae;Playero Trinador;Whimbrel;Maçarico-galego;Numenius phaeopus;24
241;;;Vuelvepiedras;Ruddy Turnstone;Vira-pedras;Arenaria interpres;30
242;;;Playero de Rompiente;Surfbird;;Calidris virgata;1
243;;;Playerito Zancudo;Stilt Sandpiper;Maçarico-pernilongo;Calidris himantopus;2
244;;;Playerito Blanco;Sanderling;Maçarico-branco;Calidris alba;15
245;;;Playerito Menor;Least Sandpiper;Maçariquinho;Calidris minutilla;10
246;;;Playerito Rabadilla Blanca;White-rumped Sandpiper;Maçarico-de-sobre-branco;Calidris fuscicollis;1
247;;;Playerito Enano;Semipalmated Sandpiper;Maçarico-rasteirinho;Calidris pusilla;5
248;;;Playerito de Alaska;Western Sandpiper;;Calidris mauri;3
249;;;Becasa Gris;Short-billed Dowitcher;Maçarico-de-costas-brancas;Limnodromus griseus;2
250;;;Falaropo Común;Wilson´s Phalarope;Pisa-n´água;Phalaropus tricolor;3
251;;;Falaropo Pico Fino;Red-necked Phalarope;;Phalaropus lobatus;2
252;;;Falaropo Pico Grueso;Red Phalarope;Falaropo-de-bico-grosso;Phalaropus fulicarius;3
253;;;Playerito Manchado;Spotted Sandpiper;Maçarico-pintado;Actitis macularius;29
254;;;Playero de Alaska;Wandering Tattler;;Tringa incana;10
255;;;Playero Ala Blanca;Willet;Maçarico-de-asa-branca;Tringa semipalmata;5
256;;;Pitotoy Chico;Lesser Yellowlegs;Maçarico-de-perna-amarela;Tringa flavipes;5
257;;;Pitotoy Grande;Greater Yellowlegs;Maçarico-grande-de-perna-amarela;Tringa melanoleuca;5
258;;Laridae;Gaviotín de San Félix;Brown Noddy;Trinta-réis-escuro;Anous stolidus;30
259;;;Gaviota de Cola Bifurcada;Swallow-tailed Gull;;Creagrus furcatus;21
260;;;Gaviota de Sabine;Sabine´s Gull;Gaivota-de-sabine;Xema sabini;2
261;;;Gaviota de Bonaparte;Bonaparte´s Gull;;Larus philadelphia;1
262;;;Gaviota Andina;Andean Gull;;Larus serranus;4
263;;;Gaviota Capucho Gris;Grey-headed Gull;Gaivota-de-cabeça-cinza;Larus cirrocephalus;7
264;;;Gaviota Garuma;Grey Gull;;Larus modestus;6
265;;;Gaviota Chica;Franklin´s Gull;Gaivota-de-franklin;Larus pipixcan;7
266;;;Gaviota Reidora Americana;Laughing Gull;Gaivota-alegre;Larus atricilla;14
267;;;Gaviota de Lava;Lava Gull;;Larus fuliginosus;39
268;;;Gaviota Cocinera;Kelp Gull;Gaivotão;Larus dominicanus;8
269;;;Gaviotín Chico Boreal;Least Tern;Trinta-réis-miúdo;Sternula antillarum;1
270;;;Atí;Large-billed Tern;Trinta-réis-grande;Phaetusa simplex;2
271;;;Gaviotín Pico Grueso;Common Gull-billed Tern;Trinta-réis-de-bico-preto;Gelochelidon nilotica;1
272;;;Zarcillo;Inca Tern;;Larosterna inca;1
273;;;Gaviotín Negro;Black Tern;Trinta-réis-negro;Chlidonias niger;2
274;;;Gaviotín Sudamericano;South American Tern;Trinta-réis-de-bico-vermelho;Sterna hirundinacea;1
275;;;Gaviotín Golondrina;Common Tern;Trinta-réis-boreal;Sterna hirundo;5
276;;;Gaviotín Elegante;Elegant Tern;;Thalasseus elegans;8
277;;;Gaviotín Pico Amarillo;Sandwich Tern;;Thalasseus sandvicensis;6
278;;;Gaviotín Real;Royal Tern;Trinta-réis-real;Thalasseus maximus;12
279;;Stercorariidae;Salteador Parásito;Arctic Jaeger;Mandrião-parasítico;Stercorarius parasiticus;2
280;;;Salteador Pomarino;Pomarine Jaeger;Mandrião-pomarino;Stercorarius pomarinus;1
281;Cathartiformes;Cathartidae;Jote Cabeza Colorada;Turkey Vulture;Urubu-de-cabeça-vermelha;Cathartes aura;44
282;;;Aura Selvática;Greater Yellow-headed Vulture;Urubu-da-mata;Cathartes melambrotus;7
283;;;Jote Cabeza Negra;American Black Vulture;Urubu-preto;Coragyps atratus;50
284;;;Jote Real;King Vulture;Urubu-rei;Sarcoramphus papa;5
285;;;Cóndor Andino;Andean Condor;Condor-dos-andes;Vultur gryphus;3
286;Accipitriformes;Pandionidae;Águila Pescadora;Osprey;Águia-pescadora;Pandion haliaetus;13
287;;Elanidae;Milano Chico;Pearl Kite;Gaviãozinho;Gampsonyx swainsonii;4
288;;;Milano Blanco;White-tailed Kite;Gavião-peneira;Elanus leucurus;5
289;;Accipitridae;Milano Pico Garfio;Hook-billed Kite;Caracoleiro;Chondrohierax uncinatus;10
290;;;Milano Tijereta;Swallow-tailed Kite;Gavião-tesoura;Elanoides forficatus;13
291;;;Águila Monera;Crested Eagle;Uiraçu-falso;Morphnus guianensis;1
292;;;Águila Harpía;Harpy Eagle;Gavião-real;Harpia harpyja;1
293;;;Águila Poma;Black-and-chestnut Eagle;;Spizaetus isidori;2
294;;;Gavilán Gorgirrayado;Double-toothed Kite;Gavião-ripina;Harpagus bidentatus;2
295;;;Gavilán Patas Largas;Crane Hawk;Gavião-pernilongo;Geranospiza caerulescens;1
296;;;Milano Plomizo;Plumbeous Kite;Sovi;Ictinia plumbea;4
297;;;Caracolero;Snail Kite;Gavião-caramujeiro;Rostrhamus sociabilis;12
298;;;Taguató Común;Roadside Hawk;Gavião-carijó;Rupornis magnirostris;22
299;;;Gavilán Mixto;Harris´s Hawk;Gavião-asa-de-telha;Parabuteo unicinctus;6
300;;;Gavilán Pizarroso;Slate-colored Hawk;Gavião-azul;Buteogallus schistaceus;2
301;;;Gavilán Cangrejero;Common Black Hawk;Gavião-caranguejeiro-negro;Buteogallus anthracinus;2
302;;;Aguilucho Colorado;Savanna Hawk;Gaviao-caboclo;Buteogallus meridionalis;4
303;;;Águila Negra;Great Black Hawk;Gaviao-preto;Buteogallus urubitinga;1
304;;;;Barred Hawk;;Morphnarchus princeps;2
305;;;Aguilucho Común;Variable Hawk;Gavião-de-costas-vermelhas;Geranoaetus polyosoma;7
306;;;Águila Mora;Black-chested Buzzard-eagle;águia-chilena;Geranoaetus melanoleucus;5
307;;;;Grey-backed Hawk;;Pseudastur occidentalis;2
308;;;Aguilucho Gris;Grey-lined Hawk;Gavião-pedrês;Buteo nitidus;4
309;;;Aguilucho Alas Anchas;Broad-winged Hawk;Gavião-de-asa-larga;Buteo platypterus;1
310;;;Busardo de las Galápagos;Galapagos Hawk;;Buteo galapagoensis;10
311;Trogoniformes;Trogonidae;Quetzal Cabecidorado;Golden-headed Quetzal;;Pharomachrus auriceps;12
312;;;Quetzal Crestado;Crested Quetzal;;Pharomachrus antisianus;2
313;;;Trogón Ecuatoriano;Ecuadorian Trogon;;Trogon mesurus;5
314;;;Trogón Colinegro;Black-tailed Trogon;Surucuá-de-cauda-preta;Trogon melanurus;5
315;;;Surucuá de Panza Amarilla;Green-backed Trogon;Surucuá-grande-de-barriga-amarela;Trogon viridis;9
316;;;Trogon Coliblanco;White-tailed Trogon;;Trogon chionurus;1
317;;;Surucuá Violeta Chico;Violaceous Trogon;Surucuá-violáceo;Trogon violaceus;4
318;;;Surucuá Aurora;Blue-crowned Trogon;Surucuá-de-barriga-vermelha;Trogon curucui;3
319;;;Trogon Collarejo;Collared Trogon;Surucuá-de-coleira;Trogon collaris;6
320;;;Trogon Enmascarado;Masked Trogon;Surucuá-mascarado;Trogon personatus;13
321;Coraciiformes;Momotidae;;Whooping Motmot;;Momotus subrufescens;8
322;;;Burgo;Amazonian Motmot;Udu-de-coroa-azul;Momotus momota;1
323;;;Momoto Serrano;Highland Motmot;;Momotus aequatorialis;2
324;;;Momoto Canelo Mayor;Rufous Motmot;Juruva-ruiva;Baryphthengus martii;7
325;;;Momoto Picoancho;Broad-billed Motmot;Udu-de-bico-largo;Electron platyrhynchum;2
326;;Alcedinidae;Martín Pescador Grande;Ringed Kingfisher;Martim-pescador-grande;Megaceryle torquata;18
327;;;Martín Pescador Mediano;Amazon Kingfisher;Martim-pescador-verde;Chloroceryle amazona;4
328;;;Martín Pescador Enano;American Pygmy-kingfisher;Martinho;Chloroceryle aenea;3
329;;;Martín Pescador Chico;Green Kingfisher;Martim-pescador-pequeno;Chloroceryle americana;20
330;;;Martín Pescador Rojizo;Green-and-rufous Kingfisher;Martim-pescador-da-mata;Chloroceryle inda;2
331;Falconiformes;Falconidae;Guaicurú;Laughing Falcon;Acauã;Herpetotheres cachinnans;6
332;;;Halcón Montés Chico;Barred Forest-falcon;Falcão-caburé;Micrastur ruficollis;3
333;;;Halcón Montés Grande;Collared Forest-falcon;Falcão-relógio;Micrastur semitorquatus;2
334;;;Carancho;Crested Caracara;Carcará;Caracara plancus;8
335;;;Caracara Gorgirrojo;Red-throated Caracara;Gralhão;Ibycter americanus;2
336;;;Caracara Carunculado;Carunculated Caracara;;Phalcoboenus carunculatus;3
337;;;Chimachima;Yellow-headed Caracara;Carrapateiro;Milvago chimachima;2
338;;;Caracara Negro;Black Caracara;Gavião-de-anta;Daptrius ater;6
339;;;Halconcito Colorado;American Kestrel;Quiriquiri;Falco sparverius;15
340;;;Halcón Negro Chico;Bat Falcon;Cauré;Falco rufigularis;4
341;;;Halcón Peregrino;Peregrine Falcon;Falcão-peregrino;Falco peregrinus;4
342;Psittaciformes;Psittacidae;Catita Barrada;Barred Parakeet;;Bolborhynchus lineola;1
343;;;Periquito Aliblanco;White-winged Parakeet;Periquito-de-asa-branca;Brotogeris versicolurus;10
344;;;Catita Macareña;Grey-cheeked Parakeet;;Brotogeris pyrrhoptera;14
345;;;Catita Aliazul;Cobalt-winged Parakeet;Periquito-de-asa-azul;Brotogeris cyanoptera;3
346;;;;Rose-faced Parrot;;Pyrilia pulchra;1
347;;;Lorito Carinaranja;Orange-cheeked Parrot;Curica-de-bochecha-laranja;Pyrilia barrabandi;1
348;;;Loro Piquirrojo;Red-billed Parrot;;Pionus sordidus;8
349;;;Loro Cabeciazul;Blue-headed Parrot;Maitaca-de-cabeça-azul;Pionus menstruus;6
350;;;Loro Alibronceado;Bronze-winged Parrot;;Pionus chalcopterus;13
351;;;;Lilacine Amazon;;Amazona lilacina;1
352;;;Loro Nuca Escamada;Scaly-naped Amazon;;Amazona mercenarius;1
353;;;Loro Harinoso Amazónico;Southern Mealy Amazon;Papagaio-moleiro;Amazona farinosa;2
354;;;Amazona Alinaranja;Orange-winged Amazon;Curica;Amazona amazonica;8
355;;;Cotorrita Celestial;Pacific Parrotlet;;Forpus coelestis;29
356;;;;Black-headed Parrot;Marianinha-de-cabeça-preta;Pionites melanocephalus;5
357;;;Cotorra Colinegra;Maroon-tailed Parakeet;Tiriba-fura-mata;Pyrrhura melanura;5
358;;;Cotorra Cuelliblanca;White-necked Parakeet;;Pyrrhura albipectus;1
359;;;Lorita Pico Negro;Dusky-headed Parakeet;Periquito-de-cabeça-suja;Aratinga weddellii;1
360;;;Guacamayo Azulamarillo;Blue-and-yellow Macaw;Arara-canindé;Ara ararauna;7
361;;;Guacamayo Verde;Military Macaw;;Ara militaris;2
362;;;Guacamayo Macao;Scarlet Macaw;Araracanga;Ara macao;3
363;;;Guacamayo Severo;Chestnut-fronted Macaw;Maracanã-guaçu;Ara severus;6
364;;;Aratinga de Guayaquil;Red-masked Parakeet;;Psittacara erythrogenys;16
365;;;Calancate Ala Roja;White-eyed Parakeet;Periquitão-maracanã;Psittacara leucophthalmus;4
366;Passeriformes;Thamnophilidae;Hormiguerito del Pacífico;Pacific Antwren;;Myrmotherula pacifica;2
367;;;Hormiguerito Pechilistado;Stripe-chested Antwren;;Myrmotherula longicauda;1
368;;;Hormiguerito Pizarroso;Slaty Antwren;;Myrmotherula schisticolor;4
369;;;Hormiguerito Alilargo;Long-winged Antwren;Choquinha-de-asa-comprida;Myrmotherula longipennis;1
370;;;;Plain-throated Antwren;Choquinha-de-garganta-clara;Isleria hauxwelli;1
371;;;Choca Amarilla;Plain Antvireo;Choquinha-lisa;Dysithamnus mentalis;4
372;;;Hormiguerito Pechiamarillo;Yellow-breasted Antwren;;Herpsilochmus axillaris;3
373;;;Tiluchi Alirufo Norteño;Northern Rufous-winged Antwren;;Herpsilochmus scapularis;2
374;;;Chororó;Great Antshrike;Choró-boi;Taraba major;6
375;;;Batará de Chapman;Chapman´s Antshrike;;Thamnophilus zarumae;1
376;;;Batará Vermiculado;Lined Antshrike;;Thamnophilus tenuepunctatus;5
377;;;;Collared Antshrike;;Thamnophilus bernardi;10
378;;;Pizarroso Occidental;Black-crowned Antshrike;;Thamnophilus atrinucha;2
379;;;Batará Alillano;Plain-winged Antshrike;Choca-de-olho-vermelho;Thamnophilus schistaceus;1
380;;;Batará murino;Mouse-colored Antshrike;Choca-murina;Thamnophilus murinus;1
381;;;Batará Unicolor;Uniform Antshrike;;Thamnophilus unicolor;2
382;;;;Blackish Antbird;;Cercomacroides nigrescens;1
383;;;Hormiguero Negro;Black Antbird;Chororó-preto;Cercomacroides serva;1
384;;;Hormiguero Cejiamarillo;Yellow-browed Antwarbler;Cantador-amarelo;Hypocnemis hypoxantha;1
385;;;Hormiguero Dorsiescamado;Common Scale-backed Antbird;Rendadinho;Willisornis poecilinotus;2
386;;;Hormiguero Caripelado;Black-spotted Bare-eye;Mãe-de-taoca;Phlegopsis nigromaculata;1
387;;;Hormiguero Cresticanoso;Hairy-crested Antbird;Mãe-de-taoca-cabeçuda;Rhegmatorhina melanosticta;2
388;;;;Spot-backed Antbird;Guarda-floresta;Hylophylax naevius;1
389;;;;Dot-backed Antbird;Guarda-várzea;Hylophylax punctulatus;2
390;;;Hormiguero Plateado;Silvered Antbird;Papa-formiga-do-igarapé;Sclateria naevia;2
391;;;Hormiguero Plomizo;Plumbeous Antbird;Formigueiro-chumbo;Myrmelastes hyperythrus;1
392;;;;Spot-winged Antbird;Formigueiro-de-asa-pintada;Myrmelastes leucostigma;1
393;;;Hormiguero Carinegro;Black-faced Antbird;Formigueiro-de-cara-preta;Myrmoborus myotherinus;5
394;;;Ojo-de-Fuego Dorsiblanco;White-backed Fire-eye;Papa-taoca;Pyriglena leuconota;3
395;;;Hormiguero Caponiblanco;White-shouldered Antbird;Formigueiro-grande;Akletos melanoceps;1
396;;;;Zeledon´s Antbird;;Hafferia zeledoni;2
397;;Melanopareiidae;Pecholuna Elegante;Elegant Crescentchest;;Melanopareia elegans;8
398;;Grallariidae;Gralaria Ondulada;Undulated Antpitta;;Grallaria squamigera;1
399;;;Gralaria Gigante;Giant Antpitta;;Grallaria gigantea;2
400;;;Tororoí Bigotudo;Moustached Antpitta;;Grallaria alleni;3
401;;;Tororoi Dorsiescamado;Scaled Antpitta;Tovacuçu-corujinha;Grallaria guatimalensis;2
402;;;Gralaria Dorsillana;Plain-backed Antpitta;;Grallaria haplonota;6
403;;;Tororoí Comprapán;Chestnut-crowned Antpitta;;Grallaria ruficapilla;10
404;;;Gralaria Matorralera;Watkins´s Antpitta;;Grallaria watkinsi;1
405;;;Tororoí Jocotoco;Jocotoco Antpitta;;Grallaria ridgelyi;1
406;;;Gralaria Nuquicastaña;Chestnut-naped Antpitta;;Grallaria nuchalis;1
407;;;Tororoí Pechiamarillo;Yellow-breasted Antpitta;;Grallaria flavotincta;5
408;;;Gralaria Ventriblanca;White-bellied Antpitta;;Grallaria hypoleuca;1
409;;;Tororoí Flautista;Rufous Antpitta;;Grallaria rufula;2
410;;;Gralaria Leonada;Tawny Antpitta;;Grallaria quitensis;5
411;;;Tororoi Piquigualdo;Ochre-breasted Antpitta;;Grallaricula flavirostris;8
412;;Rhinocryptidae;Tapaculo Celado;Ocellated Tapaculo;;Acropternis orthonyx;3
413;;;Tapacola Cenizo;Ash-colored Tapaculo;;Myornis senilis;1
414;;;Tapaculo Negruzco;Blackish Tapaculo;;Scytalopus latrans;1
415;;;Churrín Coroniblanco Nórdico;White-crowned Tapaculo;;Scytalopus atratus;2
416;;;Churrín de Spillmann;Spillmann´s Tapaculo;;Scytalopus spillmanni;1
417;;Formicariidae;Gallito Hormiguero Pechicastaño;Rufous-breasted Antthrush;;Formicarius rufipectus;3
418;;;Tovaca Común;Short-tailed Antthrush;Tovaca-campainha;Chamaeza campanisona;1
419;;Furnariidae;;;;Philydor sp.;2
420;;;;Western Olivaceous Woodcreeper;;Sittasomus griseus;2
421;;;Tarefero;Eastern Olivaceous Woodcreeper;Arapaçu-verde;Sittasomus griseicapillus;3
422;;;Trepatroncos Tiranino;Tyrannine Woodcreeper;;Dendrocincla tyrannina;1
423;;;Trepatroncos Pardo;Plain-brown Woodcreeper;Arapaçu-pardo;Dendrocincla fuliginosa;8
424;;;Trepatroncos Picouña;Wedge-billed Woodcreeper;Arapaçu-bico-de-cunha;Glyphorynchus spirurus;4
