codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito
05.02.013;ARMA DE FUEGO;PISTOLAS;1;OTRO;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;9/1/2024;20:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 7;07D02;07D02C02;07D02C02S01;ZONA 7;MACHALA;NUEVO PILO;NUEVO PILO 1;7;701;70150;EL ORO;MACHALA;MACHALA;TERRORISMO Y SU FINANCIACIÓN
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;ENCONTRADA;ARTESANAL;10/1/2024;12:39;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 4;13D02;13D02C09;13D02C09S02;ZONA 4;MANTA;MIRAFLORES;MIRAFLORES 2;13;1308;130850;MANABI;MANTA;MANTA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;SE DESCONOCE;APREHENDIDO;ARTESANAL;10/1/2024;19:30;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;02D01;02D01C02;02D01C02S01;ZONA 5;GUARANDA;15 DE MAYO;15 DE MAYO 1;2;201;20150;BOLIVAR;GUARANDA;GUARANDA;TERRORISMO Y SU FINANCIACIÓN
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SE DESCONOCE;DECOMISO;IMPORTADA;10/1/2024;21:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;24D02;24D02C04;24D02C04S01;ZONA 5;LIBERTAD SALINAS;ENRIQUEZ GALLO;ENRIQUEZ GALLO 1;24;2402;240250;SANTA ELENA;LA LIBERTAD;LA LIBERTAD;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.22;TIRO A TIRO;DECOMISO;IMPORTADA;11/1/2024;4:20;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 1;08D01;08D01C14;08D01C14S01;ZONA 1;ESMERALDAS;SANTA VAINAS;SANTA VAINAS 1;8;801;80150;ESMERALDAS;ESMERALDAS;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.020;ARMA DE FUEGO;OTROS;1;OTRO;TIRO A TIRO;APREHENDIDO;ARTESANAL;11/1/2024;2:40;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 8;09D02;09D02C04;09D02C04S02;ZONA 8;ESTEROS;TRINITARIA NORTE;TRINITARIA NORTE 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;SE DESCONOCE;RETENIDO;IMPORTADA;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SE DESCONOCE;RETENIDO;IMPORTADA;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;SE DESCONOCE;RETENIDO;IMPORTADA;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.006;ARMA DE FUEGO;CARTUCHERAS;1;OTRO;SE DESCONOCE;RETENIDO;ARTESANAL;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;SE DESCONOCE;RETENIDO;IMPORTADA;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SE DESCONOCE;RETENIDO;ARTESANAL;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SE DESCONOCE;RETENIDO;ARTESANAL;10/1/2024;17:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D19;09D19C10;09D19C10S02;ZONA 5;DAULE;NOBOL;NOBOL 2;9;925;92550;GUAYAS;NOBOL;NARCISA DE JESUS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;DECOMISO;IMPORTADA;10/1/2024;18:00;VIVIENDA/ALOJAMIENTO;CASA/VILLA;ZONA 7;07D05;07D05C04;07D05C04S01;ZONA 7;HUAQUILLAS;GUABILLO;GUABILLO 1;7;702;70251;EL ORO;ARENILLAS;CHACRAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.15.001;ARMAS DE FOGUEO;PISTOLA;1;9 mm;TIRO A TIRO;INCAUTADA;IMPORTADA;10/1/2024;19:40;UNIDADES DE REACCIÓN Y EMERGENCIA;POLICÍA NACIONAL;ZONA 7;07D02;07D02C04;07D02C04S01;ZONA 7;MACHALA;RAYITO DE LUZ;RAYITO DE LUZ 1;7;701;70150;EL ORO;MACHALA;MACHALA;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;RETENIDO;IMPORTADA;10/1/2024;19:40;UNIDADES DE REACCIÓN Y EMERGENCIA;POLICÍA NACIONAL;ZONA 7;07D02;07D02C04;07D02C04S01;ZONA 7;MACHALA;RAYITO DE LUZ;RAYITO DE LUZ 1;7;701;70150;EL ORO;MACHALA;MACHALA;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
