Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Enfield,Yes,43659,25324,58,23520,53.87,,,08/25/2021
Essex,No,6668,5222,78.31,4939,74.07,,,08/25/2021
Fairfield,No,62045,43379,69.92,40705,65.61,,,08/25/2021
Farmington,No,25497,20268,79.49,19171,75.19,,,08/25/2021
Franklin,No,1920,1215,63.28,1151,59.95,,,08/25/2021
Glastonbury,No,34482,26512,76.89,25137,72.9,,,08/25/2021
Goshen,No,2863,1992,69.58,1858,64.9,,,08/25/2021
Granby,No,11507,7788,67.68,7417,64.46,,,08/25/2021
Greenwich,No,62840,44379,70.62,40963,65.19,,,08/25/2021
Griswold,Yes,11534,6203,53.78,5801,50.29,,,08/25/2021
Groton,Yes,38436,21875,56.91,20476,53.27,,,08/25/2021
Guilford,No,22133,17054,77.05,16221,73.29,,,08/25/2021
Haddam,No,8193,6148,75.04,5784,70.6,,,08/25/2021
Hamden,No,60556,39257,64.83,36637,60.5,,,08/25/2021
Hampton,No,1842,1095,59.45,1026,55.7,,,08/25/2021
Hartford,Yes,122105,61550,50.41,52928,43.35,,,08/25/2021
Hartland,No,2120,1223,57.69,1137,53.63,,,08/25/2021
Harwinton,No,5420,3565,65.77,3379,62.34,,,08/25/2021
Hebron,No,9504,6545,68.87,6214,65.38,,,08/25/2021
Kent,No,2777,2309,83.15,2131,76.74,,,08/25/2021
Killingly,Yes,17336,9157,52.82,8533,49.22,,,08/25/2021
Killingworth,No,6364,4546,71.43,4320,67.88,,,08/25/2021
Lebanon,No,7144,4548,63.66,4315,60.4,,,08/25/2021
Ledyard,No,14621,9268,63.39,8723,59.66,,,08/25/2021
Lisbon,No,4220,2550,60.43,2405,56.99,,,08/25/2021
Litchfield,No,8094,5721,70.68,5336,65.93,,,08/25/2021
Lyme,No,2316,1938,83.68,1863,80.44,,,08/25/2021
Madison,No,18030,14113,78.28,13422,74.44,,,08/25/2021
Manchester,Yes,57584,37344,64.85,34479,59.88,,,08/25/2021
Mansfield,No,25487,9312,36.54,8771,34.41,,,08/25/2021
Marlborough,No,6335,4388,69.27,4168,65.79,,,08/25/2021
Meriden,Yes,59395,37630,63.36,34277,57.71,,,08/25/2021
Middlebury,No,7798,5581,71.57,5269,67.57,,,08/25/2021
Middlefield,No,4374,3011,68.84,2866,65.52,,,08/25/2021
Middletown,Yes,46258,32973,71.28,30665,66.29,,,08/25/2021
Milford,Yes,54747,37370,68.26,35384,64.63,,,08/25/2021
Monroe,No,19434,13472,69.32,12616,64.92,,,08/25/2021
Montville,Yes,18508,10851,58.63,10170,54.95,,,08/25/2021
Morris,No,2254,1458,64.69,1353,60.03,,,08/25/2021
Naugatuck,No,31108,18827,60.52,17250,55.45,,,08/25/2021
New Britain,Yes,72495,37903,52.28,33987,46.88,,,08/25/2021
New Canaan,No,20233,15685,77.52,14360,70.97,,,08/25/2021
New Fairfield,No,13878,8930,64.35,8300,59.81,,,08/25/2021
New Hartford,No,6656,4419,66.39,4192,62.98,,,08/25/2021
New Haven,Yes,130250,76324,58.6,68626,52.69,,,08/25/2021
New London,Yes,26858,15504,57.73,14035,52.26,,,08/25/2021
New Milford,No,26805,18904,70.52,17610,65.7,,,08/25/2021
Newington,No,30014,21563,71.84,20386,67.92,,,08/25/2021
Newtown,No,27891,19780,70.92,18594,66.67,,,08/25/2021
Norfolk,No,1630,1068,65.52,999,61.29,,,08/25/2021
North Branford,No,14146,10212,72.19,9672,68.37,,,08/25/2021
North Canaan,No,3251,1875,57.67,1720,52.91,,,08/25/2021
North Haven,No,23683,18870,79.68,17848,75.36,,,08/25/2021
North Stonington,No,5196,3002,57.78,2857,54.98,,,08/25/2021
Norwalk,Yes,88816,63673,71.69,57517,64.76,,,08/25/2021
Norwich,Yes,38768,22644,58.41,20803,53.66,,,08/25/2021
Old Lyme,No,7306,5554,76.02,5276,72.21,,,08/25/2021
Old Saybrook,No,10061,8409,83.58,7956,79.08,,,08/25/2021
Orange,Yes,13926,10087,72.43,9566,68.69,,,08/25/2021
Oxford,No,13255,8798,66.37,8243,62.19,,,08/25/2021
Plainfield,Yes,15125,7890,52.17,7352,48.61,,,08/25/2021
Plainville,No,17534,11347,64.71,10603,60.47,,,08/25/2021
Plymouth,No,11598,6385,55.05,5955,51.35,,,08/25/2021
Pomfret,No,4203,2655,63.17,2482,59.05,,,08/25/2021
Portland,No,9267,6597,71.19,6222,67.14,,,08/25/2021
Preston,No,4625,2874,62.14,2716,58.72,,,08/25/2021
Prospect,No,9702,6337,65.32,5985,61.69,,,08/25/2021
Putnam,No,9389,5063,53.92,4723,50.3,,,08/25/2021
Redding,No,9116,6041,66.27,5710,62.64,,,08/25/2021
Resident out of state,,,75614,,59944,,,,08/25/2021
Ridgefield,No,24959,18293,73.29,17271,69.2,,,08/25/2021
Rocky Hill,No,20115,14665,72.91,13877,68.99,,,08/25/2021
Roxbury,No,2152,1674,77.79,1555,72.26,,,08/25/2021
Salem,No,4083,2631,64.44,2469,60.47,,,08/25/2021
Salisbury,No,3600,3212,89.22,3021,83.92,,,08/25/2021
Scotland,No,1672,899,53.77,854,51.08,,,08/25/2021
Seymour,No,16437,10560,64.25,9732,59.21,,,08/25/2021
Sharon,No,2689,1814,67.46,1680,62.48,,,08/25/2021
Shelton,No,41129,27947,67.95,26060,63.36,,,08/25/2021
Sherman,No,3630,2279,62.78,2147,59.15,,,08/25/2021
Simsbury,No,25395,18895,74.4,17930,70.6,,,08/25/2021
Somers,No,10784,6371,59.08,5973,55.39,,,08/25/2021
South Windsor,No,26162,19574,74.82,18604,71.11,,,08/25/2021
Southbury,No,19571,14328,73.21,13559,69.28,,,08/25/2021
Southington,No,43834,30651,69.93,29118,66.43,,,08/25/2021
Sprague,No,2859,1575,55.09,1461,51.1,,,08/25/2021
Stafford,No,11893,6397,53.79,6002,50.47,,,08/25/2021
Stamford,Yes,129638,96486,74.43,85770,66.16,,,08/25/2021
Sterling,No,3782,1686,44.58,1557,41.17,,,08/25/2021
Stonington,No,18559,12812,69.03,12230,65.9,,,08/25/2021
Stratford,No,51849,33014,63.67,30381,58.6,,,08/25/2021
Suffield,No,15814,10198,64.49,9442,59.71,,,08/25/2021
Thomaston,No,7535,4569,60.64,4294,56.99,,,08/25/2021
Thompson,No,9379,4265,45.47,3999,42.64,,,08/25/2021
Tolland,No,14618,10207,69.82,9730,66.56,,,08/25/2021
Torrington,Yes,34044,21842,64.16,20203,59.34,,,08/25/2021
Trumbull,No,35673,26645,74.69,24985,70.04,,,08/25/2021
Union,No,839,505,60.19,480,57.21,,,08/25/2021
Vernon,Yes,29359,19869,67.68,18598,63.35,,,08/25/2021
Voluntown,No,2510,1471,58.61,1382,55.06,,,08/25/2021
Wallingford,No,44326,31854,71.86,30032,67.75,,,08/25/2021
Warren,No,1395,952,68.24,901,64.59,,,08/25/2021
Washington,No,3428,2718,79.29,2500,72.93,,,08/25/2021
Waterbury,Yes,107568,58347,54.24,51345,47.73,,,08/25/2021
Waterford,Yes,18746,13578,72.43,12860,68.6,,,08/25/2021
Watertown,No,21578,14512,67.25,13570,62.89,,,08/25/2021
West Hartford,Yes,62965,49370,78.41,46384,73.67,,,08/25/2021
West Haven,Yes,54620,34249,62.7,31404,57.5,,,08/25/2021
Westbrook,No,6869,5053,73.56,4725,68.79,,,08/25/2021
Weston,No,10252,7669,74.8,7201,70.24,,,08/25/2021
Westport,No,28491,21006,73.73,19595,68.78,,,08/25/2021
Wethersfield,No,26008,19692,75.72,18610,71.55,,,08/25/2021
Willington,No,5864,3437,58.61,3250,55.42,,,08/25/2021
Wilton,No,18343,14177,77.29,13273,72.36,,,08/25/2021
Winchester,Yes,10604,6178,58.26,5700,53.75,,,08/25/2021
Windham,Yes,24561,13187,53.69,12106,49.29,,,08/25/2021
Windsor,No,28733,20326,70.74,18857,65.63,,,08/25/2021
Windsor Locks,Yes,12854,8141,63.33,7602,59.14,,,08/25/2021
Wolcott,No,16587,10566,63.7,9870,59.5,,,08/25/2021
Woodbridge,No,8750,6777,77.45,6423,73.41,,,08/25/2021
Woodbury,No,9502,6588,69.33,6273,66.02,,,08/25/2021
Woodstock,No,7858,4824,61.39,4534,57.7,,,08/25/2021
Address pending validation,,,16207,,14831,,,,09/01/2021
Andover,No,3236,2152,66.5,2054,63.47,,,09/01/2021
Ansonia,Yes,18654,10733,57.54,9643,51.69,,,09/01/2021
Ashford,No,4255,2658,62.47,2526,59.37,,,09/01/2021
Avon,No,18276,14752,80.72,13969,76.43,,,09/01/2021
Barkhamsted,No,3606,2448,67.89,2321,64.36,,,09/01/2021
Beacon Falls,No,6222,3949,63.47,3728,59.92,,,09/01/2021
Berlin,No,20436,14104,69.02,13428,65.71,,,09/01/2021
Bethany,No,5548,3833,69.09,3651,65.81,,,09/01/2021
Bethel,No,19800,12813,64.71,11864,59.92,,,09/01/2021
Bethlehem,No,3402,2164,63.61,2038,59.91,,,09/01/2021
Bloomfield,No,21211,15199,71.66,13932,65.68,,,09/01/2021
Bolton,No,4884,3359,68.78,3196,65.44,,,09/01/2021
Bozrah,No,2726,1586,58.18,1515,55.58,,,09/01/2021
Branford,No,27900,20669,74.08,19593,70.23,,,09/01/2021
Bridgeport,Yes,144399,80954,56.06,70317,48.7,,,09/01/2021
Bridgewater,No,1635,1246,76.21,1181,72.23,,,09/01/2021
Bristol,Yes,59947,39237,65.45,36277,60.52,,,09/01/2021
Brookfield,No,16973,12198,71.87,11446,67.44,,,09/01/2021
Brooklyn,No,8272,4663,56.37,4294,51.91,,,09/01/2021
Burlington,No,9704,6730,69.35,6378,65.73,,,09/01/2021
Canaan,No,1053,1112,100,1027,97.53,,,09/01/2021
Canterbury,No,5079,2886,56.82,2705,53.26,,,09/01/2021
Canton,No,10254,7284,71.04,6930,67.58,,,09/01/2021
Chaplin,No,2239,1298,57.97,1227,54.8,,,09/01/2021
Cheshire,No,28937,21566,74.53,20494,70.82,,,09/01/2021
Chester,No,4213,2973,70.57,2825,67.05,,,09/01/2021
Clinton,No,12925,9759,75.5,9205,71.22,,,09/01/2021
Colchester,No,15809,10723,67.83,10115,63.98,,,09/01/2021
Colebrook,No,1400,973,69.5,911,65.07,,,09/01/2021
Columbia,No,5379,3580,66.56,3411,63.41,,,09/01/2021
Cornwall,No,1362,1115,81.86,1044,76.65,,,09/01/2021
Coventry,No,12407,8177,65.91,7786,62.75,,,09/01/2021
Cromwell,No,13839,10620,76.74,10066,72.74,,,09/01/2021
Danbury,Yes,84694,58655,69.26,51820,61.18,,,09/01/2021
Darien,No,21728,16602,76.41,15308,70.45,,,09/01/2021
Deep River,No,4443,3307,74.43,3103,69.84,,,09/01/2021
Derby,Yes,12339,9442,76.52,8109,65.72,,,09/01/2021
Durham,No,7165,5181,72.31,4933,68.85,,,09/01/2021
East Granby,No,5140,3627,70.56,3457,67.26,,,09/01/2021
East Haddam,No,8997,6017,66.88,5408,60.11,,,09/01/2021
East Hampton,No,12800,8578,67.02,8107,63.34,,,09/01/2021
East Hartford,Yes,49872,32684,65.54,29251,58.65,,,09/01/2021
East Haven,Yes,28569,17708,61.98,16387,57.36,,,09/01/2021
East Lyme,No,18462,13619,73.77,12897,69.86,,,09/01/2021
East Windsor,No,11668,7172,61.47,6547,56.11,,,09/01/2021
Eastford,No,1790,1027,57.37,965,53.91,,,09/01/2021
Easton,No,7521,5397,71.76,5085,67.61,,,09/01/2021
Ellington,No,16467,10878,66.06,10227,62.11,,,09/01/2021
Enfield,Yes,43659,25548,58.52,23774,54.45,,,09/01/2021
Essex,No,6668,5243,78.63,4964,74.45,,,09/01/2021
Fairfield,No,62045,43631,70.32,40972,66.04,,,09/01/2021
Farmington,No,25497,20377,79.92,19289,75.65,,,09/01/2021
Franklin,No,1920,1224,63.75,1159,60.36,,,09/01/2021
Glastonbury,No,34482,26617,77.19,25266,73.27,,,09/01/2021
Goshen,No,2863,2004,70,1877,65.56,,,09/01/2021
Granby,No,11507,7829,68.04,7450,64.74,,,09/01/2021
Greenwich,No,62840,44638,71.03,41152,65.49,,,09/01/2021
Griswold,Yes,11534,6269,54.35,5862,50.82,,,09/01/2021
Groton,Yes,38436,22081,57.45,20679,53.8,,,09/01/2021
Guilford,No,22133,17141,77.45,16330,73.78,,,09/01/2021
Haddam,No,8193,6203,75.71,5828,71.13,,,09/01/2021
Hamden,No,60556,39638,65.46,37015,61.13,,,09/01/2021
Hampton,No,1842,1103,59.88,1034,56.13,,,09/01/2021
Hartford,Yes,122105,62682,51.33,54089,44.3,,,09/01/2021
Hartland,No,2120,1230,58.02,1149,54.2,,,09/01/2021
Harwinton,No,5420,3605,66.51,3426,63.21,,,09/01/2021
Hebron,No,9504,6590,69.34,6261,65.88,,,09/01/2021
Kent,No,2777,2325,83.72,2143,77.17,,,09/01/2021
Killingly,Yes,17336,9259,53.41,8648,49.88,,,09/01/2021
Killingworth,No,6364,4580,71.97,4338,68.16,,,09/01/2021
Lebanon,No,7144,4572,64,4355,60.96,,,09/01/2021
Ledyard,No,14621,9326,63.78,8807,60.24,,,09/01/2021
Lisbon,No,4220,2589,61.35,2429,57.56,,,09/01/2021
Litchfield,No,8094,5770,71.29,5378,66.44,,,09/01/2021
Lyme,No,2316,1950,84.2,1868,80.66,,,09/01/2021
Madison,No,18030,14172,78.6,13480,74.76,,,09/01/2021
Manchester,Yes,57584,37771,65.59,34871,60.56,,,09/01/2021
Mansfield,No,25487,9391,36.85,8866,34.79,,,09/01/2021
Marlborough,No,6335,4417,69.72,4203,66.35,,,09/01/2021
Meriden,Yes,59395,38206,64.33,34853,58.68,,,09/01/2021
Middlebury,No,7798,5638,72.3,5306,68.04,,,09/01/2021
Middlefield,No,4374,3022,69.09,2888,66.03,,,09/01/2021
Middletown,Yes,46258,33260,71.9,30924,66.85,,,09/01/2021
Milford,Yes,54747,37621,68.72,35705,65.22,,,09/01/2021
Monroe,No,19434,13573,69.84,12743,65.57,,,09/01/2021
Montville,Yes,18508,10965,59.24,10271,55.49,,,09/01/2021
Morris,No,2254,1483,65.79,1371,60.83,,,09/01/2021
Naugatuck,No,31108,19059,61.27,17476,56.18,,,09/01/2021
New Britain,Yes,72495,38532,53.15,34614,47.75,,,09/01/2021
New Canaan,No,20233,15798,78.08,14432,71.33,,,09/01/2021
New Fairfield,No,13878,9039,65.13,8415,60.64,,,09/01/2021
New Hartford,No,6656,4465,67.08,4219,63.39,,,09/01/2021
New Haven,Yes,130250,77533,59.53,69714,53.52,,,09/01/2021
New London,Yes,26858,15762,58.69,14250,53.06,,,09/01/2021
New Milford,No,26805,19089,71.21,17773,66.3,,,09/01/2021
Newington,No,30014,21752,72.47,20563,68.51,,,09/01/2021
Newtown,No,27891,19890,71.31,18730,67.15,,,09/01/2021
Norfolk,No,1630,1077,66.07,1009,61.9,,,09/01/2021
North Branford,No,14146,10293,72.76,9741,68.86,,,09/01/2021
North Canaan,No,3251,1884,57.95,1729,53.18,,,09/01/2021
North Haven,No,23683,19029,80.35,17984,75.94,,,09/01/2021
North Stonington,No,5196,3022,58.16,2877,55.37,,,09/01/2021
Norwalk,Yes,88816,64341,72.44,58131,65.45,,,09/01/2021
Norwich,Yes,38768,22945,59.19,21111,54.45,,,09/01/2021
Old Lyme,No,7306,5590,76.51,5301,72.56,,,09/01/2021
Old Saybrook,No,10061,8441,83.9,7994,79.46,,,09/01/2021
Orange,Yes,13926,10147,72.86,9644,69.25,,,09/01/2021
Oxford,No,13255,8847,66.74,8312,62.71,,,09/01/2021
Plainfield,Yes,15125,7982,52.77,7438,49.18,,,09/01/2021
Plainville,No,17534,11448,65.29,10718,61.13,,,09/01/2021
Plymouth,No,11598,6611,57,6148,53.01,,,09/01/2021
Pomfret,No,4203,2682,63.81,2506,59.62,,,09/01/2021
Portland,No,9267,6645,71.71,6272,67.68,,,09/01/2021
Preston,No,4625,2907,62.85,2759,59.65,,,09/01/2021
Prospect,No,9702,6401,65.98,6055,62.41,,,09/01/2021
Putnam,No,9389,5111,54.44,4771,50.81,,,09/01/2021
Redding,No,9116,6078,66.67,5745,63.02,,,09/01/2021
Resident out of state,,,77445,,60848,,,,09/01/2021
Ridgefield,No,24959,18366,73.58,17350,69.51,,,09/01/2021
Rocky Hill,No,20115,14748,73.32,13973,69.47,,,09/01/2021
Roxbury,No,2152,1684,78.25,1560,72.49,,,09/01/2021
Salem,No,4083,2665,65.27,2492,61.03,,,09/01/2021
Salisbury,No,3600,3221,89.47,3023,83.97,,,09/01/2021
Scotland,No,1672,911,54.49,861,51.5,,,09/01/2021
Seymour,No,16437,10675,64.94,9855,59.96,,,09/01/2021
Sharon,No,2689,1822,67.76,1686,62.7,,,09/01/2021
Shelton,No,41129,28193,68.55,26330,64.02,,,09/01/2021
Sherman,No,3630,2298,63.31,2164,59.61,,,09/01/2021
Simsbury,No,25395,18977,74.73,18016,70.94,,,09/01/2021
Somers,No,10784,6402,59.37,6004,55.68,,,09/01/2021
South Windsor,No,26162,19680,75.22,18739,71.63,,,09/01/2021
Southbury,No,19571,14403,73.59,13638,69.68,,,09/01/2021
Southington,No,43834,30876,70.44,29310,66.87,,,09/01/2021
Sprague,No,2859,1590,55.61,1475,51.59,,,09/01/2021
Stafford,No,11893,6459,54.31,6064,50.99,,,09/01/2021
Stamford,Yes,129638,97669,75.34,86925,67.05,,,09/01/2021
Sterling,No,3782,1710,45.21,1584,41.88,,,09/01/2021
Stonington,No,18559,12865,69.32,12292,66.23,,,09/01/2021
Stratford,No,51849,33457,64.53,30802,59.41,,,09/01/2021
Suffield,No,15814,10254,64.84,9513,60.16,,,09/01/2021
Thomaston,No,7535,4879,64.75,4583,60.82,,,09/01/2021
Thompson,No,9379,4311,45.96,4042,43.1,,,09/01/2021
Tolland,No,14618,10264,70.21,9785,66.94,,,09/01/2021
Torrington,Yes,34044,22133,65.01,20447,60.06,,,09/01/2021
Trumbull,No,35673,26850,75.27,25186,70.6,,,09/01/2021
Union,No,839,509,60.67,482,57.45,,,09/01/2021
Vernon,Yes,29359,20044,68.27,18778,63.96,,,09/01/2021
Voluntown,No,2510,1477,58.84,1395,55.58,,,09/01/2021
Wallingford,No,44326,32085,72.38,30338,68.44,,,09/01/2021
Warren,No,1395,960,68.82,906,64.95,,,09/01/2021
Washington,No,3428,2736,79.81,2521,73.54,,,09/01/2021
Waterbury,Yes,107568,59715,55.51,52384,48.7,,,09/01/2021
Waterford,Yes,18746,13676,72.95,12967,69.17,,,09/01/2021
Watertown,No,21578,14675,68.01,13722,63.59,,,09/01/2021
West Hartford,Yes,62965,49621,78.81,46650,74.09,,,09/01/2021
West Haven,Yes,54620,34736,63.6,31862,58.33,,,09/01/2021
Westbrook,No,6869,5080,73.96,4753,69.19,,,09/01/2021
Weston,No,10252,7709,75.2,7238,70.6,,,09/01/2021
Westport,No,28491,21135,74.18,19706,69.17,,,09/01/2021
Wethersfield,No,26008,19893,76.49,18803,72.3,,,09/01/2021
Willington,No,5864,3477,59.29,3281,55.95,,,09/01/2021
Wilton,No,18343,14239,77.63,13351,72.79,,,09/01/2021
Winchester,Yes,10604,6244,58.88,5770,54.41,,,09/01/2021
Windham,Yes,24561,13371,54.44,12287,50.03,,,09/01/2021
Windsor,No,28733,20516,71.4,19045,66.28,,,09/01/2021
Windsor Locks,Yes,12854,8225,63.99,7669,59.66,,,09/01/2021
Wolcott,No,16587,10662,64.28,9924,59.83,,,09/01/2021
Woodbridge,No,8750,6805,77.77,6454,73.76,,,09/01/2021
Woodbury,No,9502,6655,70.04,6319,66.5,,,09/01/2021
Woodstock,No,7858,4903,62.4,4569,58.14,,,09/01/2021
Address pending validation,,,16219,,14822,,,,09/08/2021
Andover,No,3236,2166,66.93,2070,63.97,,,09/08/2021
Ansonia,Yes,18654,10838,58.1,9793,52.5,,,09/08/2021
Ashford,No,4255,2683,63.06,2552,59.98,,,09/08/2021
Avon,No,18276,14799,80.98,14036,76.8,,,09/08/2021
Barkhamsted,No,3606,2456,68.11,2332,64.67,,,09/08/2021
Beacon Falls,No,6222,3966,63.74,3753,60.32,,,09/08/2021
Berlin,No,20436,14166,69.32,13493,66.03,,,09/08/2021
Bethany,No,5548,3851,69.41,3676,66.26,,,09/08/2021
Bethel,No,19800,12888,65.09,11945,60.33,,,09/08/2021
Bethlehem,No,3402,2177,63.99,2050,60.26,,,09/08/2021
Bloomfield,No,21211,15311,72.18,14039,66.19,,,09/08/2021
Bolton,No,4884,3372,69.04,3202,65.56,,,09/08/2021
Bozrah,No,2726,1592,58.4,1519,55.72,,,09/08/2021
Branford,No,27900,20745,74.35,19686,70.56,,,09/08/2021
Bridgeport,Yes,144399,82191,56.92,71523,49.53,,,09/08/2021
Bridgewater,No,1635,1253,76.64,1187,72.6,,,09/08/2021
Bristol,Yes,59947,39443,65.8,36578,61.02,,,09/08/2021
Brookfield,No,16973,12253,72.19,11510,67.81,,,09/08/2021
Brooklyn,No,8272,4702,56.84,4336,52.42,,,09/08/2021
Burlington,No,9704,6750,69.56,6414,66.1,,,09/08/2021
Canaan,No,1053,1118,100,1041,98.86,,,09/08/2021
Canterbury,No,5079,2904,57.18,2736,53.87,,,09/08/2021
Canton,No,10254,7317,71.36,6970,67.97,,,09/08/2021
Chaplin,No,2239,1310,58.51,1236,55.2,,,09/08/2021
Cheshire,No,28937,21600,74.64,20571,71.09,,,09/08/2021
Chester,No,4213,2980,70.73,2841,67.43,,,09/08/2021
Clinton,No,12925,9796,75.79,9250,71.57,,,09/08/2021
Colchester,No,15809,10780,68.19,10195,64.49,,,09/08/2021
Colebrook,No,1400,976,69.71,915,65.36,,,09/08/2021
Columbia,No,5379,3595,66.83,3432,63.8,,,09/08/2021
Cornwall,No,1362,1120,82.23,1052,77.24,,,09/08/2021
Coventry,No,12407,8223,66.28,7831,63.12,,,09/08/2021
Cromwell,No,13839,10684,77.2,10119,73.12,,,09/08/2021
Danbury,Yes,84694,59076,69.75,52370,61.83,,,09/08/2021
Darien,No,21728,16640,76.58,15369,70.73,,,09/08/2021
Deep River,No,4443,3320,74.72,3121,70.25,,,09/08/2021
Derby,Yes,12339,9518,77.14,8222,66.63,,,09/08/2021
Durham,No,7165,5202,72.6,4953,69.13,,,09/08/2021
East Granby,No,5140,3642,70.86,3472,67.55,,,09/08/2021
East Haddam,No,8997,6065,67.41,5458,60.66,,,09/08/2021
East Hampton,No,12800,8617,67.32,8156,63.72,,,09/08/2021
East Hartford,Yes,49872,33000,66.17,29614,59.38,,,09/08/2021
East Haven,Yes,28569,17829,62.41,16538,57.89,,,09/08/2021
East Lyme,No,18462,13706,74.24,13005,70.44,,,09/08/2021
East Windsor,No,11668,7203,61.73,6628,56.8,,,09/08/2021
Eastford,No,1790,1036,57.88,969,54.13,,,09/08/2021
Easton,No,7521,5415,72,5101,67.82,,,09/08/2021
Ellington,No,16467,10931,66.38,10282,62.44,,,09/08/2021
Enfield,Yes,43659,25683,58.83,23930,54.81,,,09/08/2021
Essex,No,6668,5258,78.85,4989,74.82,,,09/08/2021
Fairfield,No,62045,43818,70.62,41183,66.38,,,09/08/2021
Farmington,No,25497,20461,80.25,19393,76.06,,,09/08/2021
Franklin,No,1920,1235,64.32,1169,60.89,,,09/08/2021
Glastonbury,No,34482,26700,77.43,25382,73.61,,,09/08/2021
Goshen,No,2863,2006,70.07,1886,65.87,,,09/08/2021
Granby,No,11507,7860,68.31,7491,65.1,,,09/08/2021
Greenwich,No,62840,44817,71.32,41317,65.75,,,09/08/2021
Griswold,Yes,11534,6310,54.71,5921,51.34,,,09/08/2021
Groton,Yes,38436,22237,57.85,20857,54.26,,,09/08/2021
Guilford,No,22133,17191,77.67,16396,74.08,,,09/08/2021
Haddam,No,8193,6233,76.08,5875,71.71,,,09/08/2021
Hamden,No,60556,39858,65.82,37286,61.57,,,09/08/2021
Hampton,No,1842,1108,60.15,1041,56.51,,,09/08/2021
Hartford,Yes,122105,63492,52,54969,45.02,,,09/08/2021
Hartland,No,2120,1232,58.11,1155,54.48,,,09/08/2021
Harwinton,No,5420,3622,66.83,3450,63.65,,,09/08/2021
Hebron,No,9504,6624,69.7,6307,66.36,,,09/08/2021
Kent,No,2777,2336,84.12,2149,77.39,,,09/08/2021
Killingly,Yes,17336,9336,53.85,8706,50.22,,,09/08/2021
Killingworth,No,6364,4602,72.31,4362,68.54,,,09/08/2021
Lebanon,No,7144,4606,64.47,4383,61.35,,,09/08/2021
Ledyard,No,14621,9365,64.05,8861,60.6,,,09/08/2021
Lisbon,No,4220,2604,61.71,2447,57.99,,,09/08/2021
Litchfield,No,8094,5802,71.68,5412,66.86,,,09/08/2021
Lyme,No,2316,1953,84.33,1868,80.66,,,09/08/2021
Madison,No,18030,14220,78.87,13536,75.07,,,09/08/2021
Manchester,Yes,57584,38064,66.1,35213,61.15,,,09/08/2021
Mansfield,No,25487,9448,37.07,8913,34.97,,,09/08/2021
Marlborough,No,6335,4438,70.06,4233,66.82,,,09/08/2021
Meriden,Yes,59395,38552,64.91,35227,59.31,,,09/08/2021
Middlebury,No,7798,5665,72.65,5339,68.47,,,09/08/2021
Middlefield,No,4374,3036,69.41,2905,66.42,,,09/08/2021
Middletown,Yes,46258,33463,72.34,31126,67.29,,,09/08/2021
Milford,Yes,54747,37764,68.98,35900,65.57,,,09/08/2021
Monroe,No,19434,13633,70.15,12844,66.09,,,09/08/2021
Montville,Yes,18508,11044,59.67,10377,56.07,,,09/08/2021
Morris,No,2254,1501,66.59,1380,61.22,,,09/08/2021
Naugatuck,No,31108,19228,61.81,17627,56.66,,,09/08/2021
New Britain,Yes,72495,38979,53.77,35110,48.43,,,09/08/2021
New Canaan,No,20233,15843,78.3,14475,71.54,,,09/08/2021
New Fairfield,No,13878,9085,65.46,8462,60.97,,,09/08/2021
New Hartford,No,6656,4486,67.4,4236,63.64,,,09/08/2021
New Haven,Yes,130250,78314,60.13,70596,54.2,,,09/08/2021
New London,Yes,26858,15927,59.3,14423,53.7,,,09/08/2021
New Milford,No,26805,19238,71.77,17911,66.82,,,09/08/2021
Newington,No,30014,21862,72.84,20689,68.93,,,09/08/2021
Newtown,No,27891,19956,71.55,18817,67.47,,,09/08/2021
Norfolk,No,1630,1080,66.26,1017,62.39,,,09/08/2021
North Branford,No,14146,10357,73.22,9811,69.36,,,09/08/2021
North Canaan,No,3251,1890,58.14,1743,53.61,,,09/08/2021
North Haven,No,23683,19100,80.65,18078,76.33,,,09/08/2021
North Stonington,No,5196,3030,58.31,2901,55.83,,,09/08/2021
Norwalk,Yes,88816,64841,73.01,58668,66.06,,,09/08/2021
Norwich,Yes,38768,23119,59.63,21351,55.07,,,09/08/2021
Old Lyme,No,7306,5612,76.81,5338,73.06,,,09/08/2021
Old Saybrook,No,10061,8475,84.24,8030,79.81,,,09/08/2021
Orange,Yes,13926,10205,73.28,9701,69.66,,,09/08/2021
Oxford,No,13255,8896,67.11,8378,63.21,,,09/08/2021
Plainfield,Yes,15125,8037,53.14,7503,49.61,,,09/08/2021
Plainville,No,17534,11504,65.61,10807,61.63,,,09/08/2021
Plymouth,No,11598,6634,57.2,6198,53.44,,,09/08/2021
Pomfret,No,4203,2703,64.31,2515,59.84,,,09/08/2021
Portland,No,9267,6677,72.05,6312,68.11,,,09/08/2021
Preston,No,4625,2932,63.39,2788,60.28,,,09/08/2021
Prospect,No,9702,6428,66.25,6085,62.72,,,09/08/2021
Putnam,No,9389,5149,54.84,4812,51.25,,,09/08/2021
Redding,No,9116,6098,66.89,5764,63.23,,,09/08/2021
Resident out of state,,,79030,,61673,,,,09/08/2021
Ridgefield,No,24959,18425,73.82,17423,69.81,,,09/08/2021
Rocky Hill,No,20115,14825,73.7,14050,69.85,,,09/08/2021
