Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Enfield,Yes,43659,28370,64.98,25956,59.45,,,12/15/2021
Essex,No,6668,5768,86.5,5260,78.88,,,12/15/2021
Fairfield,No,62045,49134,79.19,44055,71,,,12/15/2021
Farmington,No,25497,22719,89.1,20744,81.36,,,12/15/2021
Franklin,No,1920,1345,70.05,1246,64.9,,,12/15/2021
Glastonbury,No,34482,30051,87.15,27486,79.71,,,12/15/2021
Goshen,No,2863,2193,76.6,2013,70.31,,,12/15/2021
Granby,No,11507,8693,75.55,8044,69.91,,,12/15/2021
Greenwich,No,62840,50749,80.76,44079,70.14,,,12/15/2021
Griswold,Yes,11534,7139,61.9,6589,57.13,,,12/15/2021
Groton,Yes,38436,25602,66.61,23197,60.35,,,12/15/2021
Guilford,No,22133,19251,86.98,17362,78.44,,,12/15/2021
Haddam,No,8193,6584,80.36,6131,74.83,,,12/15/2021
Hamden,No,60556,43965,72.6,40453,66.8,,,12/15/2021
Hampton,No,1842,1204,65.36,1113,60.42,,,12/15/2021
Hartford,Yes,122105,72474,59.35,63512,52.01,,,12/15/2021
Hartland,No,2120,1329,62.69,1219,57.5,,,12/15/2021
Harwinton,No,5420,3977,73.38,3715,68.54,,,12/15/2021
Hebron,No,9504,7317,76.99,6700,70.5,,,12/15/2021
Kent,No,2777,2556,92.04,2244,80.81,,,12/15/2021
Killingly,Yes,17336,10464,60.36,9544,55.05,,,12/15/2021
Killingworth,No,6364,5027,78.99,4647,73.02,,,12/15/2021
Lebanon,No,7144,5157,72.19,4779,66.9,,,12/15/2021
Ledyard,No,14621,10983,75.12,10071,68.88,,,12/15/2021
Lisbon,No,4220,2926,69.34,2726,64.6,,,12/15/2021
Litchfield,No,8094,6368,78.68,5807,71.74,,,12/15/2021
Lyme,No,2316,2144,92.57,1945,83.98,,,12/15/2021
Madison,No,18030,15821,87.75,14126,78.35,,,12/15/2021
Manchester,Yes,57584,42599,73.98,38762,67.31,,,12/15/2021
Mansfield,No,25487,11270,44.22,10316,40.48,,,12/15/2021
Marlborough,No,6335,4949,78.12,4565,72.06,,,12/15/2021
Meriden,Yes,59395,43019,72.43,39309,66.18,,,12/15/2021
Middlebury,No,7798,6190,79.38,5672,72.74,,,12/15/2021
Middlefield,No,4374,3347,76.52,3118,71.28,,,12/15/2021
Middletown,Yes,46258,36288,78.45,33265,71.91,,,12/15/2021
Milford,Yes,54747,41639,76.06,38416,70.17,,,12/15/2021
Monroe,No,19434,15226,78.35,14020,72.14,,,12/15/2021
Montville,Yes,18508,12657,68.39,11534,62.32,,,12/15/2021
Morris,No,2254,1642,72.85,1481,65.71,,,12/15/2021
Naugatuck,No,31108,21533,69.22,19749,63.49,,,12/15/2021
New Britain,Yes,72495,44033,60.74,40106,55.32,,,12/15/2021
New Canaan,No,20233,18596,91.91,15982,78.99,,,12/15/2021
New Fairfield,No,13878,10376,74.77,8847,63.75,,,12/15/2021
New Hartford,No,6656,4965,74.59,4574,68.72,,,12/15/2021
New Haven,Yes,130250,89068,68.38,78865,60.55,,,12/15/2021
New London,Yes,26858,18003,67.03,16178,60.24,,,12/15/2021
New Milford,No,26805,21189,79.05,19207,71.65,,,12/15/2021
Newington,No,30014,23888,79.59,22140,73.77,,,12/15/2021
Newtown,No,27891,22125,79.33,20184,72.37,,,12/15/2021
Norfolk,No,1630,1193,73.19,1074,65.89,,,12/15/2021
North Branford,No,14146,11382,80.46,10520,74.37,,,12/15/2021
North Canaan,No,3251,2037,62.66,1845,56.75,,,12/15/2021
North Haven,No,23683,20864,88.1,19384,81.85,,,12/15/2021
North Stonington,No,5196,3388,65.2,3183,61.26,,,12/15/2021
Norwalk,Yes,88816,71856,80.9,63818,71.85,,,12/15/2021
Norwich,Yes,38768,26250,67.71,23732,61.22,,,12/15/2021
Old Lyme,No,7306,6376,87.27,5781,79.13,,,12/15/2021
Old Saybrook,No,10061,9255,91.99,8370,83.19,,,12/15/2021
Orange,Yes,13926,11737,84.28,10752,77.21,,,12/15/2021
Oxford,No,13255,9739,73.47,8987,67.8,,,12/15/2021
Plainfield,Yes,15125,9092,60.11,8333,55.09,,,12/15/2021
Plainville,No,17534,12607,71.9,11727,66.88,,,12/15/2021
Plymouth,No,11598,7367,63.52,6876,59.29,,,12/15/2021
Pomfret,No,4203,3044,72.42,2728,64.91,,,12/15/2021
Portland,No,9267,7477,80.68,6855,73.97,,,12/15/2021
Preston,No,4625,3276,70.83,3083,66.66,,,12/15/2021
Prospect,No,9702,7062,72.79,6588,67.9,,,12/15/2021
Putnam,No,9389,5795,61.72,5209,55.48,,,12/15/2021
Redding,No,9116,7133,78.25,6335,69.49,,,12/15/2021
Resident out of state,,,125753,,78437,,,,12/15/2021
Ridgefield,No,24959,20996,84.12,18598,74.51,,,12/15/2021
Rocky Hill,No,20115,16560,82.33,15170,75.42,,,12/15/2021
Roxbury,No,2152,1851,86.01,1636,76.02,,,12/15/2021
Salem,No,4083,3162,77.44,2883,70.61,,,12/15/2021
Salisbury,No,3600,3637,100,3259,90.53,,,12/15/2021
Scotland,No,1672,1010,60.41,954,57.06,,,12/15/2021
Seymour,No,16437,11856,72.13,10982,66.81,,,12/15/2021
Sharon,No,2689,1928,71.7,1730,64.34,,,12/15/2021
Shelton,No,41129,31327,76.17,29099,70.75,,,12/15/2021
Sherman,No,3630,2561,70.55,2233,61.52,,,12/15/2021
Simsbury,No,25395,21380,84.19,19539,76.94,,,12/15/2021
Somers,No,10784,7121,66.03,6508,60.35,,,12/15/2021
South Windsor,No,26162,22121,84.55,20242,77.37,,,12/15/2021
Southbury,No,19571,15764,80.55,14310,73.12,,,12/15/2021
Southington,No,43834,34056,77.69,31751,72.43,,,12/15/2021
Sprague,No,2859,1828,63.94,1687,59.01,,,12/15/2021
Stafford,No,11893,7161,60.21,6575,55.28,,,12/15/2021
Stamford,Yes,129638,108629,83.79,94664,73.02,,,12/15/2021
Sterling,No,3782,1977,52.27,1811,47.88,,,12/15/2021
Stonington,No,18559,14402,77.6,13206,71.16,,,12/15/2021
Stratford,No,51849,38147,73.57,35134,67.76,,,12/15/2021
Suffield,No,15814,11291,71.4,10245,64.78,,,12/15/2021
Thomaston,No,7535,5376,71.35,5013,66.53,,,12/15/2021
Thompson,No,9379,4876,51.99,4393,46.84,,,12/15/2021
Tolland,No,14618,11569,79.14,10779,73.74,,,12/15/2021
Torrington,Yes,34044,24725,72.63,22788,66.94,,,12/15/2021
Trumbull,No,35673,30069,84.29,27348,76.66,,,12/15/2021
Union,No,839,539,64.24,506,60.31,,,12/15/2021
Vernon,Yes,29359,22260,75.82,20476,69.74,,,12/15/2021
Voluntown,No,2510,1665,66.33,1547,61.63,,,12/15/2021
Wallingford,No,44326,35208,79.43,32575,73.49,,,12/15/2021
Warren,No,1395,1043,74.77,948,67.96,,,12/15/2021
Washington,No,3428,3030,88.39,2646,77.19,,,12/15/2021
Waterbury,Yes,107568,69069,64.21,61438,57.12,,,12/15/2021
Waterford,Yes,18746,15528,82.83,14289,76.22,,,12/15/2021
Watertown,No,21578,16339,75.72,15108,70.02,,,12/15/2021
West Hartford,Yes,62965,56160,89.19,51007,81.01,,,12/15/2021
West Haven,Yes,54620,38471,70.43,35416,64.84,,,12/15/2021
Westbrook,No,6869,5735,83.49,5157,75.08,,,12/15/2021
Weston,No,10252,9045,88.23,7947,77.52,,,12/15/2021
Westport,No,28491,24980,87.68,21839,76.65,,,12/15/2021
Wethersfield,No,26008,21988,84.54,20408,78.47,,,12/15/2021
Willington,No,5864,3849,65.64,3560,60.71,,,12/15/2021
Wilton,No,18343,16158,88.09,14324,78.09,,,12/15/2021
Winchester,Yes,10604,6929,65.34,6384,60.2,,,12/15/2021
Windham,Yes,24561,15159,61.72,13808,56.22,,,12/15/2021
Windsor,No,28733,22959,79.9,20900,72.74,,,12/15/2021
Windsor Locks,Yes,12854,9102,70.81,8314,64.68,,,12/15/2021
Wolcott,No,16587,11805,71.17,11028,66.49,,,12/15/2021
Woodbridge,No,8750,7718,88.21,7075,80.86,,,12/15/2021
